,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
0,Business and administration,International Business,AC120,,,,,,,,8,American College,,,,,,,,,,,,AC
1,Humanities (except languages),Liberal Arts,AC137,,,,,,,,8,American College,,,,,,,,,,,,AC
2,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
3,Arts,Graphic Design and Moving Image Design (portfolio),AD102,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
4,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
5,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
6,Arts,Fine Art (portfolio),AD204,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
7,Arts,Fashion Design (portfolio),AD211,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
8,Arts,Product Design (portfolio),AD212,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
9,Arts,Visual Culture,AD215,,,,,,,,8,National College of Art and Design,,,,,,,,,,,,AD
10,Arts,Illustration (portfolio),AD217,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
11,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
12,Information and Communication Technologies (ICTs),Software Design,AL600,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
13,Engineering and engineering trades,Computer Engineering,AL601,,,,,,,,6,Athlone Institute of Technology,,avp,v,,,,,,,,,AL
14,Engineering and engineering trades,Mechanical Engineering,AL602,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
15,Architecture and construction,Civil Engineering,AL604,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
16,Engineering and engineering trades,Music and Instrument Technology,AL605,,,,,,,,6,Athlone Institute of Technology,,avp,,,,,,,,,,AL
17,Health,Pharmacy Technician,AL630,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
18,Health,Dental Nursing,AL631,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
19,Biological and related sciences,Applied Science,AL632,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
20,Business and administration,Business,AL650,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,,AL
21,Personal services,Culinary Arts,AL660,,,,,,,,6,Athlone Institute of Technology,,avp,,,,,,,,,,AL
22,Personal services,Bar Supervision,AL661,,,,,,,,6,Athlone Institute of Technology,,avp,v,,,,,,,,,AL
23,Personal services,Business (Sport and Recreation),AL663,,,,,,,,6,Athlone Institute of Technology,,avp,,,,,,,,,,AL
24,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
25,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
26,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
27,Information and Communication Technologies (ICTs),Computer Engineering,AL704,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
28,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL705,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
29,Engineering and engineering trades,Mechanical Engineering,AL710,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
30,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
31,Engineering and engineering trades,Automation and Robotics,AL712,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
32,Engineering and engineering trades,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
33,Engineering and engineering trades,Music and Sound Engineering,AL718,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
34,Architecture and construction,Civil Engineering,AL721,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
35,Biological and related sciences,Biotechnology,AL730,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
36,Veterinary,Veterinary Nursing,AL731,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
37,Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
38,Personal services,Exercise and Health Science,AL740,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
39,Business and administration,Digital Marketing,AL751,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
40,Business and administration,Business,AL752,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
41,Personal services,Hotel and Leisure Management,AL761,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
42,Arts,Graphic Design (portfolio),AL763,,,,,,,,7,Athlone Institute of Technology,#,,,,,,,,,,,AL
43,Welfare,Early Years Care and Education,AL764,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
44,Welfare,Applied Social Studies in Social Care,AL765,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,,AL
45,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
46,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
47,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
48,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
49,Architecture and construction,Quantity Surveying,AL810,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
50,Architecture and construction,Civil Engineering,AL811,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
51,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
52,Health,General Nursing,AL830,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
53,Health,Psychiatric Nursing,AL832,,*,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
54,Health,Nutrition and Health Science,AL836,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
55,Personal services,Sports Science with Exercise Physiology,AL837,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
56,Biological and related sciences,Biotechnology,AL838,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
57,Biological and related sciences,Microbiology,AL839,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
58,Physical sciences,Pharmaceutical Sciences,AL840,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
59,Health,Athletic and Rehabilitation Therapy,AL841,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
60,Biological and related sciences,Bioveterinary Science,AL842,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
61,Health,Physical Activity and Health Science,AL843,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
62,Business and administration,Business,AL850,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
63,Law,Business and Law,AL851,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
64,Business and administration,Accounting,AL852,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
65,Personal services,Sport Management (with international placement),AL854,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
66,Personal services,Hospitality Management (with international placement),AL855,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
67,Business and administration,Digital Marketing,AL857,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
68,Welfare,Social Care Practice,AL860,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
69,Arts,Animation and Illustration (portfolio),AL861,,,,,,,,8,Athlone Institute of Technology,#,,,,,,,,,,,AL
70,Arts,Graphic and Digital Design (portfolio),AL863,,,,,,,,8,Athlone Institute of Technology,#,,,,,,,,,,,AL
71,Welfare,Early Years Care and Education,AL864,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
72,Social and behavioural sciences,Applied Psychology,AL870,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,,AL
73,Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,,,,,,,,8,St. Angela`s College,,,,,,,,,,,,AS
74,Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,,*,,*,,*,,8,St. Angela`s College,,,,,,,,,,,,AS
75,Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,,*,,,,,,8,St. Angela`s College,,,,,,,,,,,,AS
76,Business and administration,"Nutrition, Food and Business Management",AS051,,,,,,,,8,St. Angela`s College,,,,,,,,,,,,AS
77,Biological and related sciences,Home Economics,AS054,,,,,,,,8,St. Angela`s College,,,,,,,,,,,,AS
78,Health,General Nursing,AS110,,*,,,,*,,8,St. Angela`s College,,,,,,,,,,,,AS
79,Health,Intellectual Disability Nursing,AS130,,*,,,,,,8,St. Angela`s College,,,,,,,,,,,,AS
