,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
80,Welfare,Counselling Skills and Psychotherapy Studies,CI001,,,,,,,,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
81,Welfare,Counselling Skills and Addiction Studies,CI002,,,,,,,,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
82,Welfare,Counselling Skills and Youth Studies,CI005,,,,,,,,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
83,Welfare,Counselling and Psychotherapy,CI110,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
84,Welfare,Counselling and Addiction Studies,CI111,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
85,Welfare,Counselling and Youth Studies,CI112,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
86,Arts,Arts - 3 years,CK101,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
87,Social and behavioural sciences,Social Science,CK102,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
88,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,,CK
89,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
90,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
91,Languages,Arts International - 4 years,CK108,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
92,Languages,English - 3 years or 4 years (International Pathway),CK109,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
93,Languages,World Languages,CK110,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
94,Welfare,Early Years and Childhood Studies,CK111,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
95,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,,CK
96,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
97,Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,,CK
98,Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
99,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
100,Social and behavioural sciences,Applied Psychology,CK120,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
101,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
102,Social and behavioural sciences,Government and Political Science,CK122,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
103,Humanities (except languages),Anthropology,CK123,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
104,Education,Education - Gaeilge,CK124,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
105,Education,Sports Studies and Physical Education,CK125,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
106,Business and administration,Commerce,CK201,,*,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
107,Business and administration,Accounting,CK202,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
108,Information and Communication Technologies (ICTs),Business Information Systems,CK203,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
109,Business and administration,Finance,CK204,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
110,Business and administration,Commerce (International) with French,CK205,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
111,Business and administration,Commerce (International) with German,CK206,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
112,Business and administration,Commerce (International) with Italian,CK207,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
113,Business and administration,Commerce (International) with Hispanic Studies,CK208,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
114,Business and administration,Commerce (International) with Irish,CK209,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
115,Business and administration,Commerce (International) with Chinese Studies,CK211,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
116,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
117,Business and administration,Food Marketing and Entrepreneurship,CK213,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
118,Social and behavioural sciences,International Development,CK214,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
119,Law,Law (Pathways) -  3 or 4 years,CK301,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
120,Law,Law and French,CK302,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
121,Law,Law and Irish,CK304,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
122,Law,Law and Business,CK307,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
123,Information and Communication Technologies (ICTs),Computer Science,CK401,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
124,Biological and related sciences,Biological and Chemical Sciences,CK402,,*,,*,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
125,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
126,Biological and related sciences,Genetics,CK405,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
127,Physical sciences,Chemical Sciences,CK406,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
128,Mathematics and statistics,Mathematical Sciences,CK407,,,,*,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
129,Physical sciences,Physics and Astrophysics,CK408,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
130,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
131,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
132,Agriculture,Agricultural Science,CK412,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
133,Biological and related sciences,Nutritional Sciences,CK504,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
134,Manufacturing and processing,Food Science,CK505,,,,*,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
135,Engineering and engineering trades,Engineering,CK600,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
136,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
137,Health,Medicine (Undergraduate Entry - HPAT required),CK701,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,,CK
138,Health,Dentistry,CK702,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
139,Health,Pharmacy,CK703,,,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
140,Health,Occupational Therapy,CK704,,,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
141,Health,Speech and Language Therapy,CK705,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
142,Health,Public Health Sciences,CK706,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
143,Health,Medical and Health Sciences,CK707,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
144,Health,General Nursing,CK710,,*,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
145,Health,Children`s and General Nursing (Integrated),CK712,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
146,Health,Mental Health Nursing,CK720,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
147,Health,Intellectual Disability Nursing,CK730,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,,CK
148,Health,Midwifery,CK740,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,,CK
149,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,,*,,,,*,,8,University College Cork (NUI),#,,,,,,,,,,,CK
150,Education,Education - Primary Teaching,CM001,,*,,,,*,,8,Marino Institute of Education,,,,,,,,,,,,CM
151,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,,CM
152,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,,CM
153,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,,CM
154,Education,Education Studies,CM010,,,,,,,,8,Marino Institute of Education,,avp,,,,,,,,,,CM
155,Education,Early Childhood Education,CM020,,,,,,,,8,Marino Institute of Education,,,,,,,,,,,,CM
156,Physical sciences,Applied Physics and Instrumentation,CR001,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
157,Biological and related sciences,Applied Biosciences,CR006,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
158,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
159,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
160,Information and Communication Technologies (ICTs),Software Development,CR016,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
161,Business and administration,Business (Common Entry),CR021,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
162,Business and administration,Business Administration,CR022,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
163,Welfare,Social Care Work,CR031,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
164,Personal services,Recreation and Leisure Management,CR032,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
165,Welfare,Community Development,CR035,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
166,Personal services,Tourism Management,CR041,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
167,Personal services,Hospitality Management,CR042,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
168,Transport services,Automotive Technology and Management,CR046,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
169,Architecture and construction,Civil Engineering,CR051,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
170,Architecture and construction,Construction,CR052,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
171,Arts,Interior Architecture,CR053,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
172,Engineering and engineering trades,Environmental Engineering,CR055,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
173,Engineering and engineering trades,Electronic Engineering,CR061,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
174,Engineering and engineering trades,Electrical Engineering,CR062,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
175,Engineering and engineering trades,Mechanical Engineering,CR071,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
176,Health,Biomedical Engineering,CR075,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
177,Architecture and construction,Architectural Technology,CR090,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
178,Transport services,Nautical Science at National Maritime College of Ireland,CR094,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
179,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
180,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
181,Information and Communication Technologies (ICTs),Software Development,CR106,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
182,Engineering and engineering trades,Mechanical Engineering,CR108,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
183,Architecture and construction,Structural Engineering,CR109,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
184,Transport services,Automotive Business Management and Technology,CR110,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
185,Arts,Creative Digital Media,CR112,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
186,Information and Communication Technologies (ICTs),Computer Systems,CR116,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
187,Arts,Music at CIT Cork School of Music,CR121,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
188,Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
189,Arts,Popular Music: Drums at CIT Cork School of Music,CR126,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
190,Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
191,Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
192,Arts,Popular Music: Voice at CIT Cork School of Music,CR129,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
193,Arts,Musical Theatre at CIT Cork School of Music,CR130,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
194,Business and administration,Business Information Systems,CR150,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
195,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
196,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
197,Arts,Photography with New Media,CR225,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
198,Physical sciences,Physical Sciences (Common Entry),CR300,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
199,Physical sciences,Physical Sciences (Common Entry),CR305,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
200,Information and Communication Technologies (ICTs),IT Management,CR310,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
201,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
202,Biological and related sciences,Pharmaceutical Biotechnology,CR325,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
203,Health,Nutrition and Health Science,CR333,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
204,Biological and related sciences,Biological Sciences (Common Entry),CR335,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
205,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
206,Physical sciences,Instrument Engineering,CR360,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
207,Environment,Environmental Science and Sustainable Technology,CR365,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
208,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
209,Business and administration,Accounting,CR400,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
210,Business and administration,Marketing,CR420,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
211,Business and administration,International Business with Language,CR425,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
212,Personal services,Sport and Exercise Management,CR430,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
213,Education,Montessori Education,CR440,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
214,Engineering and engineering trades,Engineering (Common Entry),CR500,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
215,Environment,Sustainable Energy Engineering,CR510,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
216,Health,Biomedical Engineering,CR520,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
217,Architecture and construction,Architectural Technology,CR560,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
218,Architecture and construction,Interior Architecture,CR565,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
219,Architecture and construction,Quantity Surveying,CR570,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
220,Architecture and construction,Construction Management,CR572,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
221,Engineering and engineering trades,Electrical Engineering,CR580,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
222,Engineering and engineering trades,Electronic Engineering,CR590,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,,CR
223,Arts,Visual Communications,CR600,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,,CR
224,Welfare,Early Childhood Education and Care,CR620,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
225,Personal services,Culinary Arts,CR640,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
226,Personal services,Beverage Industry Management,CR650,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,,CR
227,Personal services,Culinary Studies,CR655,,,,,,,,6,Cork Institute of Technology,,,,,,,,,,,,CR
