,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
358,Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,532.0,,520.0,,520.0,,543.0,8,Dublin City University,,,,,,,,,,,,DC
359,Humanities (except languages),Communication Studies,DC131,407.0,,402.0,,402.0,,451.0,8,Dublin City University,,,,,,,,,,,,DC
360,Journalism and information,Journalism,DC132,429.0,,422.0,,422.0,,466.0,8,Dublin City University,,,,,,,,,,,,DC
361,Arts,Multimedia,DC133,411.0,,410.0,,410.0,,451.0,8,Dublin City University,,,,,,,,,,,,DC
362,Languages,Applied Language and Translation Studies,DC155,387.0,,,,387.0,,444.0,8,Dublin City University,,,,,,,,,,,,DC
363,Physical sciences,Analytical Science,DC161,498.0,*,489.0,,489.0,,510.0,8,Dublin City University,,,,,,,,,,,,DC
364,Physical sciences,Chemical and Pharmaceutical Sciences,DC162,521.0,,,,521.0,,544.0,8,Dublin City University,,,,,,,,,,,,DC
365,Environment,Environmental Science and Technology,DC166,433.0,,399.0,,399.0,,441.0,8,Dublin City University,,,,,,,,,,,,DC
366,Biological and related sciences,Genetics and Cell Biology,DC168,512.0,*,510.0,,510.0,,529.0,8,Dublin City University,,,,,,,,,,,,DC
367,Physical sciences,Physics General Entry (options),DC175,419.0,,402.0,,402.0,,467.0,8,Dublin City University,,,,,,,,,,,,DC
368,Biological and related sciences,Biotechnology,DC181,499.0,,495.0,,495.0,,511.0,8,Dublin City University,,,,,,,,,,,,DC
369,Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,413.0,,,,413.0,,465.0,8,Dublin City University,,,,,,,,,,,,DC
370,Engineering and engineering trades,Mechatronic Engineering,DC193,411.0,,,,411.0,,487.0,8,Dublin City University,,,,,,,,,,,,DC
371,Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,425.0,,,,425.0,,487.0,8,Dublin City University,,,,,,,,,,,,DC
372,Health,Biomedical Engineering,DC197,423.0,,,,423.0,,477.0,8,Dublin City University,,,,,,,,,,,,DC
373,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,422.0,,,,422.0,,487.0,8,Dublin City University,,,,,,,,,,,,DC
374,Biological and related sciences,Common Entry into Science (Undenominated Entry),DC201,498.0,*,488.0,,488.0,,499.0,8,Dublin City University,,,,,,,,,,,,DC
375,Health,Sport Science and Health,DC202,500.0,,498.0,*,498.0,*,521.0,8,Dublin City University,,,,,,,,,,,,DC
376,Education,Science Education,DC203,435.0,,,,435.0,,487.0,8,Dublin City University,,,,,,,,,,,,DC
377,Health,Athletic Therapy and Training,DC204,522.0,,519.0,,519.0,,533.0,8,Dublin City University,,,,,,,,,,,,DC
378,Education,Physical Education with Biology,DC205,531.0,,,,531.0,,553.0,8,Dublin City University,,,,,,,,,,,,DC
379,Education,Physical Education with Mathematics,DC206,499.0,,,,499.0,,520.0,8,Dublin City University,,,,,,,,,,,,DC
380,Social and behavioural sciences,Psychology,DC208,532.0,,521.0,,521.0,,533.0,8,Dublin City University,,,,,,,,,,,,DC
381,Health,Health and Society,DC209,465.0,,440.0,,440.0,,466.0,8,Dublin City University,,,,,,,,,,,,DC
382,Health,General Nursing,DC215,454.0,,433.0,,433.0,,462.0,8,Dublin City University,,,,,,,,,,,,DC
383,Health,Mental Health Nursing,DC216,418.0,,403.0,,403.0,,424.0,8,Dublin City University,,,,,,,,,,,,DC
384,Health,Intellectual Disability Nursing,DC217,370.0,,,,370.0,,390.0,8,Dublin City University,,,,,,,,,,,,DC
385,Health,Children`s and General Nursing (Integrated),DC218,500.0,,498.0,,498.0,,522.0,8,Dublin City University,,,,,,,,,,,,DC
386,Social and behavioural sciences,"Economics, Politics and Law",DC230,435.0,,,,435.0,,462.0,8,Dublin City University,,,,,,,,,,,,DC
387,Social and behavioural sciences,International Relations,DC231,397.0,,,,397.0,,433.0,8,Dublin City University,,,,,,,,,,,,DC
388,Law,Law and Society (BCL),DC232,466.0,,,,466.0,,496.0,8,Dublin City University,,,,,,,,,,,,DC
389,Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309.0,,,,309.0,,357.0,8,Dublin City University,,,,,,,,,,,,DC
390,Humanities (except languages),Social Sciences and Cultural Innovation,DC238,377.0,,,,377.0,,411.0,8,Dublin City University,,,,,,,,,,,,DC
391,Journalism and information,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430.0,,,,430.0,,473.0,8,Dublin City University,,,,,,,,,,,,DC
392,Business and administration,"Marketing, Innovation and Technology",DC240,476.0,,474.0,,474.0,,498.0,8,Dublin City University,,,,,,,,,,,,DC
393,Arts,Arts (Joint Honours) - Media Studies,DC291,376.0,,,,376.0,,409.0,8,Dublin City University,,,,,,,,,,,,DC
394,Arts,Arts (Joint Honours) - Law,DC292,403.0,,,,403.0,,430.0,8,Dublin City University,,,,,,,,,,,,DC
395,Arts,Arts (Joint Honours) - International Languages,DC293,377.0,,,,377.0,,466.0,8,Dublin City University,,,,,,,,,,,,DC
396,Arts,Arts (Joint Honours) - Politics,DC295,376.0,,,,376.0,,409.0,8,Dublin City University,,,,,,,,,,,,DC
397,Business and administration,Business and Management,DK710,120.0,,120.0,,120.0,,352.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
398,Business and administration,Business and Technology,DK711,191.0,,,,191.0,,327.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
399,Business and administration,Digital Marketing and Public Relations,DK712,100.0,,100.0,,100.0,,349.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
400,Information and Communication Technologies (ICTs),Computing,DK721,106.0,,106.0,,106.0,,326.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
401,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK722,144.0,,144.0,,144.0,,348.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
402,Architecture and construction,Building Surveying,DK730,165.0,,,,165.0,,330.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
403,Architecture and construction,Architectural Technology,DK731,332.0,,,,332.0,,392.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
404,Architecture and construction,Construction Management,DK732,120.0,,,,120.0,,321.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
405,Engineering and engineering trades,Engineering - Electrical and Electronic Systems,DK740,179.0,,179.0,,179.0,,339.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
406,Engineering and engineering trades,Engineering - Mechanical Engineering,DK742,166.0,,166.0,,166.0,,312.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
407,Architecture and construction,Engineering - Civil Engineering,DK744,190.0,,157.0,,157.0,,341.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
408,Personal services,Hospitality Management,DK750,176.0,,176.0,,176.0,,279.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
409,Personal services,Event Management,DK752,175.0,,175.0,,175.0,,347.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
410,Personal services,Culinary Arts,DK753,182.0,,182.0,,182.0,,387.0,7,Dundalk Institute of Technology,,avp,v,,,,,,,,,DK
411,Personal services,"Sport, Exercise and Enterprise",DK763,233.0,,,,225.0,,329.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
412,Welfare,Community Youth Work (interview),DK767,240.0,,240.0,,240.0,,330.0,7,Dundalk Institute of Technology,#,avp,,,,,,,,,,DK
413,Arts,Audio and Music Production,DK768,261.0,,,,261.0,,361.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
414,Arts,Creative Media,DK769,165.0,,165.0,,165.0,,318.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
415,Arts,Theatre & Film Practice,DK770,190.0,,190.0,,190.0,,388.0,7,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
416,Arts,Musical Theatre (audition),DK771,,,,,,,,7,Dundalk Institute of Technology,#,,,,,,,,,,,DK
417,Biological and related sciences,Science - Bioscience,DK781,358.0,,328.0,,208.0,,381.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
418,Biological and related sciences,Science - Pharmaceutical Science,DK783,349.0,,317.0,,210.0,,362.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
419,Veterinary,Veterinary Nursing,DK784,399.0,,,,399.0,,445.0,7,Dundalk Institute of Technology,,,,,,,,,,,,DK
420,Business and administration,Accounting and Finance,DK810,305.0,,305.0,,305.0,,401.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
421,Business and administration,Business Studies,DK816,300.0,,300.0,,300.0,,367.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
422,Information and Communication Technologies (ICTs),Computing in Games Development,DK820,311.0,,311.0,,311.0,,348.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
423,Information and Communication Technologies (ICTs),Computing in Software Development,DK821,302.0,,302.0,,302.0,,361.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
424,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK822,307.0,,,,304.0,,380.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
425,Architecture and construction,Building Surveying,DK830,336.0,,,,336.0,,352.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
426,Architecture and construction,Architectural Technology,DK831,389.0,,,,389.0,,433.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
427,Architecture and construction,Construction Management,DK832,387.0,,,,387.0,,419.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
428,Engineering and engineering trades,Engineering (Common Entry),DK843,340.0,,340.0,,340.0,,439.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
429,Engineering and engineering trades,Mechanical Engineering,DK844,305.0,,305.0,,305.0,,448.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
430,Engineering and engineering trades,Electrical & Electronic Engineering,DK845,304.0,,304.0,,304.0,,392.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
431,Architecture and construction,Civil Engineering,DK846,391.0,,361.0,,361.0,,392.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
432,Personal services,International Tourism Management,DK850,317.0,,317.0,,317.0,,377.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
433,Arts,Music (audition),DK860,532.0,,532.0,,503.0,,634.0,8,Dundalk Institute of Technology,#,avp,,,,,,,,,,DK
434,Social and behavioural sciences,Arts,DK861,302.0,,302.0,,302.0,,363.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
435,Welfare,Social Care,DK862,301.0,,,,301.0,,347.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
436,Arts,Creative Media,DK863,308.0,,308.0,,308.0,,337.0,8,Dundalk Institute of Technology,,avp,,,,,,,,,,DK
437,Arts,Film and Television Production,DK864,300.0,,300.0,,300.0,,402.0,8,Dundalk Institute of Technology,,avp,v,,,,,,,,,DK
438,Arts,Audio and Music Production,DK865,301.0,,,,301.0,,367.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
439,Health,General Nursing,DK870,403.0,,401.0,,397.0,*,419.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
440,Health,Intellectual Disability Nursing,DK872,336.0,,,,336.0,,358.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
441,Health,Mental Health Nursing,DK874,356.0,,,,356.0,,379.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
442,Welfare,Early Childhood Studies,DK876,321.0,,,,321.0,,388.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
443,Health,Midwifery,DK877,440.0,,,,440.0,,470.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
444,Health,Health and Physical Activity,DK880,328.0,,,,328.0,,389.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
445,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),DK882,310.0,,,,310.0,,380.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
446,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),DK883,358.0,,321.0,,300.0,,370.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
447,Agriculture,Sustainable Agriculture,DK884,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
448,Manufacturing and processing,Agri-Food Production,DK885,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
449,Manufacturing and processing,Biopharmaceutical Science,DK886,301.0,,,,301.0,,338.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
450,Environment,Environmental Science,DK887,330.0,,,,330.0,,589.0,8,Dundalk Institute of Technology,,,,,,,,,,,,DK
451,Business and administration,Business - Applied Entrepreneurship,DL701,,,,,,,359.0,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,,DL
452,Humanities (except languages),"English, Media and Cultural Studies",DL821,212.0,,212.0,,212.0,,347.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,,DL
453,Business and administration,Arts Management,DL822,229.0,,229.0,,235.0,,337.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,v,,,,,,,,,DL
454,Business and administration,Business Management,DL823,235.0,,,,237.0,,325.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,,DL
455,Social and behavioural sciences,Applied Psychology,DL825,379.0,,,,379.0,,434.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,,DL
456,Arts,Visual Communication Design,DL826,855.0,,,,855.0,,1024.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
457,Arts,Art,DL827,572.0,,,,572.0,,941.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
458,Arts,"3D Design, Modelmaking and Digital Art",DL828,506.0,,,,538.0,,920.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
459,Arts,Design for Stage and Screen (Costume Design),DL829,593.0,,,,593.0,,947.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
460,Arts,Design for Stage and Screen (Character Makeup Design),DL830,939.0,,,,939.0,,968.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
461,Arts,Design for Stage and Screen (Production Design),DL831,781.0,,,,781.0,,1026.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
462,Arts,Animation,DL832,920.0,,,,920.0,,1022.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
463,Arts,Photography,DL833,650.0,,,,667.0,,854.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
464,Arts,Film and Television Production,DL834,990.0,,,,990.0,,1040.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
465,Information and Communication Technologies (ICTs),Creative Computing,DL836,219.0,,,,219.0,,300.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,,DL
466,Humanities (except languages),New Media Studies,DL837,201.0,,,,201.0,,316.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,,DL
467,Arts,Creative Music Production,DL838,754.0,,,,754.0,,972.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,,DL
468,Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,683.0,,683.0,,683.0,,990.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,,,,,,,,,,DL
469,Business and administration,Digital Marketing,DL840,228.0,,228.0,,228.0,,327.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,,DL
470,Arts,English and Equality Studies,DL841,276.0,,,,276.0,,341.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,,DL
471,Architecture and construction,Architecture,DN100,510.0,,,,510.0,,541.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
472,Architecture and construction,Landscape Architecture,DN120,407.0,,,,407.0,,453.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
473,Architecture and construction,City Planning and Environmental Policy,DN130,407.0,,400.0,,390.0,,432.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
474,Engineering and engineering trades,Engineering (Common Entry),DN150,531.0,,521.0,,520.0,*,565.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
475,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (options),DN200,533.0,,,,533.0,,567.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
476,Information and Communication Technologies (ICTs),Computer Science (Common Entry),DN201,510.0,,,,510.0,,542.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
477,Mathematics and statistics,Actuarial and Financial Studies,DN230,601.0,,,,601.0,,613.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
478,Environment,Sustainability,DN240,440.0,,,,440.0,,498.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
479,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science (options),DN250,456.0,,455.0,,453.0,,488.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
480,Agriculture,Dairy Business,DN252,410.0,,,,410.0,,455.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
481,Environment,Agri - Environmental Sciences,DN253,418.0,,,,413.0,,443.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
482,Agriculture,Food Science,DN261,477.0,,,,476.0,*,495.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
483,Health,Human Nutrition,DN262,531.0,,,,531.0,,553.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
484,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,DN271,311.0,,,,311.0,,359.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
485,Agriculture,"Horticulture, Landscape and Sportsturf Management",DN272,297.0,,282.0,,282.0,,378.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
486,Veterinary,Veterinary Medicine - Undergraduate Entry,DN300,589.0,,,,589.0,,602.0,8,University College Dublin (NUI),#,,,,,,,,,,,DN
487,Veterinary,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,,,,,,,8,University College Dublin (NUI),#,,,,,,,,,,,DN
488,Veterinary,Veterinary Nursing,DN310,478.0,,477.0,,466.0,*,489.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
489,Health,Medicine - Undergraduate Entry (HPAT required),DN400,737.0,,736.0,*,736.0,*,748.0,8,University College Dublin (NUI),#,,,,,,,,,,,DN
490,Health,Medicine - Graduate Entry (GAMSAT required),DN401,,,,,58.0,*,61.0,8,University College Dublin (NUI),#,,,,,,,,,,,DN
491,Health,Radiography,DN410,534.0,,532.0,*,531.0,*,543.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
492,Health,Radiography - Graduate Entry,DN411,,,,,,,,8,University College Dublin (NUI),#,,,,,,,,,,,DN
493,Health,Physiotherapy,DN420,578.0,,577.0,*,568.0,,589.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
494,Health,Health and Performance Science,DN425,510.0,,509.0,*,507.0,,521.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
495,Business and administration,Sport and Exercise Management,DN430,455.0,,445.0,,433.0,,455.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
496,Biological and related sciences,"Biomedical, Health and Life Sciences",DN440,590.0,,589.0,*,589.0,*,601.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
497,Health,General Nursing,DN450,429.0,*,424.0,,421.0,,445.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
498,Health,Children`s and General Nursing (Integrated),DN451,509.0,,506.0,,499.0,,529.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
499,Health,Midwifery,DN452,489.0,,476.0,,473.0,,499.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
500,Health,Mental Health Nursing,DN453,397.0,,393.0,,393.0,,412.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
501,Arts,Joint Honours (options),DN520,310.0,,,,310.0,,409.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
502,Humanities (except languages),Humanities (options),DN530,340.0,,336.0,,326.0,,419.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
503,Languages,Modern Languages (options),DN541,303.0,,,,300.0,,443.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
504,Law,Law (options),DN600,546.0,,544.0,,543.0,*,566.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
505,Business and administration,Business and Law,DN610,545.0,,,,544.0,,577.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
506,Business and administration,Commerce,DN650,521.0,*,521.0,*,521.0,*,543.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
507,Business and administration,Commerce International (options),DN660,517.0,,511.0,,510.0,*,531.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
508,Business and administration,Economics and Finance,DN670,613.0,,,,613.0,,625.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
509,Social and behavioural sciences,Social Sciences (options),DN700,421.0,,419.0,,418.0,,466.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
510,Social and behavioural sciences,Economics,DN710,498.0,*,498.0,*,498.0,*,510.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
511,Social and behavioural sciences,Psychology,DN720,530.0,,522.0,*,522.0,*,543.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
512,Social and behavioural sciences,Social Policy and Sociology,DN750,378.0,,,,377.0,,408.0,8,University College Dublin (NUI),,,,,,,,,,,,DN
513,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Higher Certificate),DS602,,,,,198.0,,367.0,6,Dorset College,,,,,,,,,,,,DS
514,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Certificate),DS603,,,,,423.0,,523.0,6,Dorset College,,,,,,,,,,,,DS
515,Business and administration,Business,DS701,,,,,299.0,,299.0,7,Dorset College,,,,,,,,,,,,DS
516,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 7),DS702,,,,,290.0,,413.0,7,Dorset College,,,,,,,,,,,,DS
517,Business and administration,Business,GA160,163.0,,163.0,,163.0,,278.0,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
518,Business and administration,Business,GA170,250.0,,,,250.0,,420.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
519,Information and Communication Technologies (ICTs),Business Information Systems,GA171,250.0,,,,250.0,,367.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
520,Agriculture,Rural Enterprise and Agri-Business,GA172,277.0,,,,277.0,,382.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
521,Business and administration,Marketing and Sales,GA174,281.0,,,,282.0,,377.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
522,Business and administration,Finance,GA175,278.0,,,,278.0,,467.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
523,Business and administration,Business with Entrepreneurship,GA176,278.0,,,,278.0,,411.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
524,Business and administration,Accounting,GA181,309.0,,,,309.0,,403.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
525,Business and administration,Business,GA182,287.0,,,,287.0,,347.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
526,Information and Communication Technologies (ICTs),Business Information Systems,GA183,296.0,,,,296.0,,356.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
527,Business and administration,Marketing and Sales,GA184,307.0,,,,307.0,,357.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
528,Business and administration,Finance and Economics,GA185,293.0,,,,293.0,,392.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
529,Business and administration,Business with Entrepreneurship,GA186,280.0,,,,280.0,,356.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
530,Agriculture,Rural Enterprise and Agri-Business,GA187,281.0,,,,281.0,,352.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
531,Social and behavioural sciences,Heritage Studies,GA272,188.0,,188.0,,188.0,,363.0,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
532,Arts,Contemporary Art,GA273,702.0,,,,702.0,,892.0,7,Galway-Mayo Institute of Technology,#,,,,,,,,,,,GA
533,Arts,Design,GA274,251.0,,,,251.0,,378.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
534,Arts,Film and Documentary,GA281,304.0,,,,304.0,,379.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
535,Social and behavioural sciences,Heritage Studies,GA282,220.0,,,,220.0,,281.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
536,Arts,Contemporary Art,GA283,679.0,,,,679.0,,870.0,8,Galway-Mayo Institute of Technology,#,,,,,,,,,,,GA
537,Arts,Design,GA284,303.0,,,,303.0,,356.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
538,Education,"Education (Art, Design and Graphics)",GA285,,,,,,,,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
539,Personal services,Business in Tourism,GA360,172.0,,172.0,,172.0,,260.0,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
540,Personal services,Culinary Arts,GA361,193.0,,,,193.0,,375.0,6,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
541,Personal services,Hotel and Hospitality Operations,GA362,240.0,,228.0,,228.0,,330.0,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
542,Social and behavioural sciences,Heritage Studies,GA364,252.0,,252.0,,252.0,,369.0,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
543,Personal services,Hotel and Catering Management,GA370,198.0,,,,198.0,,362.0,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
544,Personal services,Event Management with Public Relations,GA376,206.0,,187.0,,187.0,,348.0,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
545,Personal services,International Tourism Management,GA377,172.0,,,,172.0,,360.0,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,GA
546,Manufacturing and processing,Culinary and Gastronomic Science,GA378,219.0,,,,219.0,,432.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
547,Personal services,International Hotel Management,GA380,242.0,,,,242.0,,330.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
548,Personal services,International Tourism Management,GA381,278.0,,,,278.0,,350.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
549,Manufacturing and processing,Culinary and Gastronomic Science,GA382,206.0,,,,206.0,,337.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
550,Personal services,Event Management with Public Relations,GA384,212.0,,,,212.0,,328.0,8,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
551,Architecture and construction,Construction Management,GA470,244.0,,243.0,,243.0,,349.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
552,Architecture and construction,Quantity Surveying and Construction Economics,GA471,200.0,,,,200.0,,347.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
553,Architecture and construction,Architectural Technology,GA472,226.0,,,,226.0,,367.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
554,Architecture and construction,Civil Engineering,GA473,241.0,,,,241.0,,432.0,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,GA
