,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
45,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,303.0,,,,303.0,,367.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
46,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,332.0,,,,332.0,,382.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
47,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,337.0,,,,337.0,,360.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
48,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,333.0,,,,333.0,,360.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
49,Architecture and construction,Quantity Surveying,AL810,319.0,,,,326.0,,352.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
50,Architecture and construction,Civil Engineering,AL811,320.0,,,,320.0,,432.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
51,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,308.0,,,,308.0,,379.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
52,Health,General Nursing,AL830,442.0,,,,442.0,,463.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
53,Health,Psychiatric Nursing,AL832,387.0,*,384.0,,384.0,,399.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
54,Health,Nutrition and Health Science,AL836,334.0,,,,334.0,,379.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
55,Personal services,Sports Science with Exercise Physiology,AL837,351.0,,,,351.0,,384.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
56,Biological and related sciences,Biotechnology,AL838,307.0,,,,307.0,,356.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
57,Biological and related sciences,Microbiology,AL839,325.0,,,,325.0,,393.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
58,Physical sciences,Pharmaceutical Sciences,AL840,347.0,,,,347.0,,403.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
59,Health,Athletic and Rehabilitation Therapy,AL841,430.0,,,,430.0,,465.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
60,Biological and related sciences,Bioveterinary Science,AL842,313.0,,,,313.0,,383.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
61,Health,Physical Activity and Health Science,AL843,306.0,,,,306.0,,326.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
62,Business and administration,Business,AL850,309.0,,,,309.0,,377.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
63,Law,Business and Law,AL851,295.0,,,,295.0,,351.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
64,Business and administration,Accounting,AL852,309.0,,,,309.0,,422.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
65,Personal services,Sport Management (with international placement),AL854,302.0,,299.0,,299.0,,338.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
66,Personal services,Hospitality Management (with international placement),AL855,308.0,,,,308.0,,347.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
67,Business and administration,Digital Marketing,AL857,304.0,,,,304.0,,332.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
68,Welfare,Social Care Practice,AL860,300.0,,,,300.0,,348.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
69,Arts,Animation and Illustration (portfolio),AL861,578.0,,,,578.0,,878.0,8,Athlone Institute of Technology,#,,,,,,,,,,,AL
70,Arts,Graphic and Digital Design (portfolio),AL863,781.0,,,,781.0,,824.0,8,Athlone Institute of Technology,#,,,,,,,,,,,AL
71,Welfare,Early Years Care and Education,AL864,307.0,,,,307.0,,346.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
72,Social and behavioural sciences,Applied Psychology,AL870,418.0,,,,418.0,,444.0,8,Athlone Institute of Technology,,,,,,,,,,,,AL
73,Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510.0,,,,518.0,,544.0,8,St. Angela`s College,,,,,,,,,,,,AS
74,Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441.0,*,434.0,*,434.0,*,466.0,8,St. Angela`s College,,,,,,,,,,,,AS
75,Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440.0,*,440.0,,440.0,,484.0,8,St. Angela`s College,,,,,,,,,,,,AS
76,Business and administration,"Nutrition, Food and Business Management",AS051,328.0,,317.0,,317.0,,398.0,8,St. Angela`s College,,,,,,,,,,,,AS
77,Biological and related sciences,Home Economics,AS054,408.0,,398.0,,398.0,,429.0,8,St. Angela`s College,,,,,,,,,,,,AS
78,Health,General Nursing,AS110,419.0,*,,,419.0,*,431.0,8,St. Angela`s College,,,,,,,,,,,,AS
79,Health,Intellectual Disability Nursing,AS130,336.0,*,328.0,,317.0,,339.0,8,St. Angela`s College,,,,,,,,,,,,AS
80,Welfare,Counselling Skills and Psychotherapy Studies,CI001,300.0,,,,300.0,,440.0,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
81,Welfare,Counselling Skills and Addiction Studies,CI002,309.0,,,,309.0,,367.0,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
82,Welfare,Counselling Skills and Youth Studies,CI005,306.0,,302.0,,302.0,,451.0,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
83,Welfare,Counselling and Psychotherapy,CI110,310.0,,,,310.0,,392.0,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
84,Welfare,Counselling and Addiction Studies,CI111,301.0,,,,301.0,,319.0,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
85,Welfare,Counselling and Youth Studies,CI112,311.0,,,,311.0,,311.0,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,CI
86,Arts,Arts - 3 years,CK101,300.0,,,,300.0,,388.0,8,University College Cork (NUI),,,,,,,,,,,,CK
87,Social and behavioural sciences,Social Science,CK102,412.0,,,,412.0,,451.0,8,University College Cork (NUI),,,,,,,,,,,,CK
88,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302.0,,,,302.0,,435.0,8,University College Cork (NUI),#,,,,,,,,,,,CK
89,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368.0,,337.0,,319.0,,418.0,8,University College Cork (NUI),,,,,,,,,,,,CK
90,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328.0,,,,328.0,,388.0,8,University College Cork (NUI),,,,,,,,,,,,CK
