,Course Code,Course,EOS,Mid,Level,hei_code
101,CR580,Electrical Engineering,344.0,374.0,8,CR
102,CR590,Electronic Engineering,342.0,411.0,8,CR
103,CR600,Visual Communications,587.0,888.0,8,CR
104,CR660,Tourism Management,249.0,290.0,8,CR
105,CR700,Theatre and Drama Studies at CIT Cork School of Music,768.0,906.0,8,CR
106,CK101,Arts - 3 years,300.0,368.0,8,CK
107,CK102,Social Science,391.0,431.0,8,CK
108,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340.0,409.0,8,CK
109,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397.0,442.0,8,CK
110,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326.0,388.0,8,CK
111,CK108,Arts International - 4 years,429.0,466.0,8,CK
112,CK109,English - 3 years or 4 years (International Pathway),347.0,423.0,8,CK
113,CK110,World Languages,456.0,506.0,8,CK
114,CK111,Early Years and Childhood Studies,398.0,429.0,8,CK
115,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324.0,470.0,8,CK
116,CK113,Criminology - 3 years or 4 years (International Pathway),408.0,430.0,8,CK
117,CK114,Social Science (Youth and Community Work) - 3 years,,,8,CK
118,CK115,Social Work - Mature Applicants only,,,8,CK
119,CK116,Sports Studies and Physical Education,499.0,520.0,8,CK
120,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307.0,361.0,8,CK
121,CK120,Applied Psychology,506.0,532.0,8,CK
122,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393.0,466.0,8,CK
123,CK122,Government and Political Science,355.0,410.0,8,CK
124,CK201,Commerce,465.0,489.0,8,CK
125,CK202,Accounting,467.0,506.0,8,CK
126,CK203,Business Information Systems,409.0,444.0,8,CK
127,CK204,Finance,531.0,555.0,8,CK
128,CK205,Commerce (International) with French,409.0,473.0,8,CK
129,CK206,Commerce (International) with German,408.0,446.0,8,CK
130,CK207,Commerce (International) with Italian,408.0,425.0,8,CK
131,CK208,Commerce (International) with Hispanic Studies,431.0,455.0,8,CK
132,CK209,Commerce (International) with Irish,509.0,528.0,8,CK
133,CK211,Commerce (International) with Chinese Studies,398.0,420.0,8,CK
134,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,429.0,8,CK
135,CK301,Law (Pathways) -  3 or 4 years,476.0,519.0,8,CK
136,CK302,Law and French,453.0,531.0,8,CK
137,CK304,Law and Irish,462.0,510.0,8,CK
138,CK307,Law and Business,522.0,554.0,8,CK
139,CK401,Computer Science,402.0,456.0,8,CK
140,CK402,Biological and Chemical Sciences,498.0,520.0,8,CK
141,CK404,"Biological, Earth and Environmental Sciences",412.0,451.0,8,CK
142,CK405,Genetics,476.0,496.0,8,CK
143,CK406,Chemical Sciences,457.0,488.0,8,CK
144,CK407,Mathematical Sciences,531.0,578.0,8,CK
145,CK408,Physics and Astrophysics,511.0,566.0,8,CK
146,CK409,Industrial Physics (offered jointly by UCC and CIT),413.0,532.0,8,CK
147,CK411,Data Science and Analytics,509.0,542.0,8,CK
148,CK412,Agricultural Science,457.0,509.0,8,CK
149,CK502,Food Marketing and Entrepreneurship,433.0,456.0,8,CK
150,CK504,Nutritional Sciences,492.0,509.0,8,CK
151,CK505,Food Science,444.0,477.0,8,CK
152,CK506,International Development and Food Policy,367.0,410.0,8,CK
153,CK600,Engineering,465.0,532.0,8,CK
154,CK606,Architecture (offered jointly by UCC and CIT),465.0,496.0,8,CK
155,CK701,Medicine (Undergraduate Entry - HPAT required),729.0,740.0,8,CK
156,CK702,Dentistry,590.0,613.0,8,CK
157,CK703,Pharmacy,577.0,589.0,8,CK
158,CK704,Occupational Therapy,532.0,554.0,8,CK
159,CK705,Speech and Language Therapy,509.0,529.0,8,CK
160,CK706,Public Health Sciences,419.0,451.0,8,CK
161,CK707,Medical and Health Sciences,510.0,543.0,8,CK
162,CK710,General Nursing,440.0,466.0,8,CK
163,CK712,Children`s and General Nursing (Integrated),499.0,520.0,8,CK
164,CK720,Mental Health Nursing,398.0,429.0,8,CK
165,CK730,Intellectual Disability Nursing,359.0,388.0,8,CK
166,CK740,Midwifery,444.0,474.0,8,CK
167,CK791,Medicine  - Graduate Entry (GAMSAT required),58.0,59.0,8,CK
168,AC120,International Business,234.0,269.0,8,AC
169,AC137,Liberal Arts,252.0,275.0,8,AC
170,CT125,Information Technology,235.0,280.0,8,CT
171,CM001,Education - Primary Teaching,452.0,462.0,8,CM
172,CM002,Education - Primary Teaching - Gaeltacht Applicants,421.0,440.0,8,CM
173,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491.0,506.0,8,CM
174,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492.0,569.0,8,CM
175,CM010,Education Studies,317.0,373.0,8,CM
176,CM020,Early Childhood Education,336.0,363.0,8,CM
177,DB500,Computing,242.0,320.0,8,DB
178,DB501,Computing (Cloud Computing),326.0,329.0,8,DB
179,DB502,Computing (Data Analytics and Big Data),269.0,269.0,8,DB
180,DB503,Computing (Software Development),242.0,282.0,8,DB
181,DB504,Computing (Web and Mobile Technology),227.0,269.0,8,DB
182,DB510,Audio Production and Music Project Management,233.0,293.0,8,DB
183,DB512,Business Studies,229.0,301.0,8,DB
184,DB514,Business Studies (Law),269.0,337.0,8,DB
185,DB515,Business Studies (Human Resource Management),225.0,288.0,8,DB
186,DB516,Financial Services,328.0,336.0,8,DB
187,DB517,Event Management,226.0,327.0,8,DB
188,DB518,Marketing (Digital Media),210.0,289.0,8,DB
189,DB521,Accounting and Finance,225.0,271.0,8,DB
