,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
33,Architecture and construction,Quantity Surveying,AL810,,,,,,,,8,Athlone Institute of Technology,,,,AL
34,Architecture and construction,Civil Engineering,AL811,,,,,,,,8,Athlone Institute of Technology,,,,AL
35,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,,,,,,,,8,Athlone Institute of Technology,,,,AL
36,Health,General Nursing,AL830,,*,,,,,,8,Athlone Institute of Technology,,,,AL
37,Health,Mental Health Nursing,AL832,,*,,,,,,8,Athlone Institute of Technology,,,,AL
38,Biological and related sciences,Pharmacology,AL835,,,,,,,,8,Athlone Institute of Technology,,,,AL
39,Health,Nutrition and Health Science,AL836,,,,,,,,8,Athlone Institute of Technology,,,,AL
40,Personal services,Sports Science with Exercise Physiology,AL837,,,,,,,,8,Athlone Institute of Technology,,,,AL
41,Biological and related sciences,Biotechnology,AL838,,,,,,,,8,Athlone Institute of Technology,,,,AL
42,Biological and related sciences,Microbiology,AL839,,,,,,,,8,Athlone Institute of Technology,,,,AL
43,Physical sciences,Pharmaceutical Sciences,AL840,,,,,,,,8,Athlone Institute of Technology,,,,AL
44,Health,Athletic and Rehabilitation Therapy,AL841,,,,*,,,,8,Athlone Institute of Technology,,,,AL
45,Biological and related sciences,Bioveterinary Science,AL842,,,,,,,,8,Athlone Institute of Technology,,,,AL
46,Health,Physical Activity and Health Science,AL843,,,,,,,,8,Athlone Institute of Technology,,,,AL
47,Personal services,Culinary Entrepreneurship,AL849,,,,,,,,8,Athlone Institute of Technology,,,,AL
48,Business and administration,Business,AL850,,,,,,,,8,Athlone Institute of Technology,,,,AL
49,Law,Business and Law,AL851,,,,,,,,8,Athlone Institute of Technology,,,,AL
50,Business and administration,Accounting,AL852,,,,,,,,8,Athlone Institute of Technology,,,,AL
51,Personal services,Sport Management (with international placement),AL854,,,,,,,,8,Athlone Institute of Technology,,,,AL
52,Personal services,Hospitality Management (with international placement),AL855,,,,,,,,8,Athlone Institute of Technology,,,,AL
53,Business and administration,Digital Marketing,AL857,,,,,,,,8,Athlone Institute of Technology,,,,AL
54,Business and administration,International Business,AL859,,,,,,,,8,Athlone Institute of Technology,,,,AL
55,Welfare,Social Care Practice,AL860,,,,,,,,8,Athlone Institute of Technology,,,,AL
56,Arts,Animation and Illustration (portfolio),AL861,,,,,,,,8,Athlone Institute of Technology,#,,,AL
57,Arts,Graphic and Digital Design (portfolio),AL863,,,,,,,,8,Athlone Institute of Technology,#,,,AL
58,Welfare,Early Years Care and Education,AL864,,,,,,,,8,Athlone Institute of Technology,,,,AL
59,Social and behavioural sciences,Applied Psychology,AL870,,*,,*,,,,8,Athlone Institute of Technology,,,,AL
60,Business and administration,Business,CW006,,,,,,,,6,"Institute of Technology, Carlow",,avp,,CW
61,Business and administration,Business (options),CW018,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
62,Agriculture,Sustainable Farm Management and Agribusiness,CW027,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
63,Welfare,Early Childhood Education and Care,CW028,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
64,Business and administration,Business (options),CW037,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
65,Arts,Art (portfolio),CW038,700.0,,,,,,,8,"Institute of Technology, Carlow",#,,,CW
66,Arts,Visual Communications and Design,CW047,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
67,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW048,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
68,Arts,Art (portfolio),CW057,700.0,,,,,,,7,"Institute of Technology, Carlow",#,,,CW
69,Personal services,Tourism and Event Management,CW058,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
70,Welfare,Applied Social Studies in Professional Social Care,CW068,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
71,Personal services,Tourism and Event Management,CW077,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
72,Agriculture,Sustainable Farm Management and Agribusiness,CW078,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
73,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW087,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
74,Arts,Visual Communications and Design,CW088,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
75,Health,Physiology and Health Science,CW106,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
76,Environment,Analytical Science,CW107,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
77,Biological and related sciences,Science (options),CW108,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
78,Health,Pharmacy Technician Studies,CW116,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
79,Environment,Biosciences,CW117,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
80,Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
81,Manufacturing and processing,Brewing and Distilling,CW128,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
82,Personal services,Sport and Exercise Science,CW138,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
83,Personal services,Strength and Conditioning,CW148,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
84,Health,Sport Rehabilitation and Athletic Therapy,CW188,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
85,Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
86,Information and Communication Technologies (ICTs),Software Development,CW207,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
87,Information and Communication Technologies (ICTs),Computer Games Development,CW208,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
88,Information and Communication Technologies (ICTs),Information Technology Management,CW217,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
89,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
90,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
91,Information and Communication Technologies (ICTs),Software Development,CW238,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
92,Information and Communication Technologies (ICTs),Information Technology Management,CW248,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
93,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
94,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
95,Architecture and construction,Architectural Technology,CW407,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
96,Architecture and construction,Construction Management with Building Services,CW417,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
97,Architecture and construction,Civil Engineering,CW427,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
98,Architecture and construction,Construction (options),CW438,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
99,Architecture and construction,Architectural Technology,CW468,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
100,Architecture and construction,Civil Engineering,CW478,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
101,Engineering and engineering trades,Aircraft Systems,CW507,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
102,Engineering and engineering trades,Mechanical Engineering,CW517,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
103,Engineering and engineering trades,Electronic Engineering,CW527,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
104,Arts,TV and Media Production,CW547,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
105,Engineering and engineering trades,Mechanical Engineering,CW548,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
106,Engineering and engineering trades,Electronic Systems,CW558,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
107,Engineering and engineering trades,Aerospace Engineering,CW568,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
108,Arts,TV and Media Production,CW578,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
109,Law,Legal Studies,CW706,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
110,Arts,Industrial Design,CW707,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
111,Law,Law - LLB,CW708,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
112,Welfare,Professional Social Care Practice,CW717,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
113,Arts,Product Design Innovation,CW728,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
114,Welfare,Early Childhood Education and Care,CW748,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
115,Welfare,Professional Social Care Practice,CW758,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
116,Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,,,,,,,,7,"Institute of Technology, Carlow",#,,,CW
117,Business and administration,Media and Public Relations,CW808,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
118,Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,,,,,,,,7,"Institute of Technology, Carlow",#,,,CW
119,Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,,,,,,,,7,"Institute of Technology, Carlow",#,,,CW
120,Business and administration,Digital Marketing with Analytics,CW837,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
121,Business and administration,Digital Marketing with Analytics,CW848,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
122,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,,,,,,,,8,"Institute of Technology, Carlow",#,,,CW
123,Business and administration,Business,CW906,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
124,Business and administration,Business (options),CW908,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
125,Business and administration,Business (options),CW917,,,,,,,,7,"Institute of Technology, Carlow",,,,CW
126,Business and administration,Business with Law,CW926,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
127,Business and administration,Accounting,CW936,,,,,,,,6,"Institute of Technology, Carlow",,,,CW
128,Business and administration,Business with Law,CW938,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
129,Business and administration,Accounting,CW948,,,,,,,,8,"Institute of Technology, Carlow",,,,CW
130,Humanities (except languages),Arts and Humanities,PC402,,,,,,,,7,"Carlow College, St. Patrick`s",,avp,,PC
131,Welfare,Applied Social Studies - Professional Social Care,PC404,,,,,,,,7,"Carlow College, St. Patrick`s",,avp,,PC
132,Social and behavioural sciences,"Social, Political and Community Studies",PC405,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,,PC
133,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,,PC
134,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,,PC
135,Physical sciences,Applied Physics and Instrumentation,CR001,,,,,,,,7,Cork Institute of Technology,,,,CR
136,Biological and related sciences,Applied Biosciences,CR006,,,,,,,,7,Cork Institute of Technology,,,,CR
137,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,,,,,,,,7,Cork Institute of Technology,,,,CR
138,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,CR010,,,,,,,,7,Cork Institute of Technology,,,,CR
139,Information and Communication Technologies (ICTs),Software Development,CR016,,,,,,,,7,Cork Institute of Technology,,,,CR
140,Business and administration,Business (Common Entry),CR021,,,,,,,,7,Cork Institute of Technology,,,,CR
141,Business and administration,Business Administration,CR022,,,,,,,,7,Cork Institute of Technology,,,,CR
142,Welfare,Social Care Work,CR031,,,,,,,,7,Cork Institute of Technology,,,,CR
143,Personal services,Recreation and Leisure Management,CR032,,,,,,,,7,Cork Institute of Technology,,,,CR
144,Welfare,Community Development,CR035,,,,,,,,7,Cork Institute of Technology,,,,CR
145,Personal services,Tourism Management,CR041,,,,,,,,7,Cork Institute of Technology,,avp,,CR
146,Personal services,Hospitality Management,CR042,,,,,,,,7,Cork Institute of Technology,,,,CR
147,Transport services,Automotive Technology and Management,CR046,,,,,,,,7,Cork Institute of Technology,,,,CR
148,Architecture and construction,Civil Engineering,CR051,,,,,,,,7,Cork Institute of Technology,,,,CR
149,Architecture and construction,Construction,CR052,,,,,,,,7,Cork Institute of Technology,,,,CR
150,Arts,Interior Architecture,CR053,,,,,,,,7,Cork Institute of Technology,,,,CR
151,Engineering and engineering trades,Environmental Engineering,CR055,,,,,,,,7,Cork Institute of Technology,,,,CR
152,Engineering and engineering trades,Electronic Engineering,CR061,,,,,,,,7,Cork Institute of Technology,,,,CR
153,Engineering and engineering trades,Electrical Engineering,CR062,,,,,,,,7,Cork Institute of Technology,,,,CR
154,Engineering and engineering trades,Mechanical Engineering,CR071,,,,,,,,7,Cork Institute of Technology,,,,CR
155,Health,Biomedical Engineering,CR075,,,,,,,,7,Cork Institute of Technology,,,,CR
156,Architecture and construction,Architectural Technology,CR090,,,,,,,,7,Cork Institute of Technology,,,,CR
157,Transport services,Nautical Science at National Maritime College of Ireland,CR094,,,,,,,,7,Cork Institute of Technology,,,,CR
158,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,,,,,,,,7,Cork Institute of Technology,,,,CR
159,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,,,,,,,,8,Cork Institute of Technology,,,,CR
160,Information and Communication Technologies (ICTs),Software Development,CR106,,,,,,,,8,Cork Institute of Technology,,,,CR
161,Engineering and engineering trades,Mechanical Engineering,CR108,,,,,,,,8,Cork Institute of Technology,,,,CR
162,Architecture and construction,Structural Engineering,CR109,,,,,,,,8,Cork Institute of Technology,,,,CR
163,Transport services,Automotive Business Management and Technology,CR110,,,,,,,,8,Cork Institute of Technology,,,,CR
164,Arts,Creative Digital Media at CIT Crawford College of Art and Design,CR112,,,,,,,,8,Cork Institute of Technology,,,,CR
165,Information and Communication Technologies (ICTs),Computer Systems,CR116,,,,,,,,8,Cork Institute of Technology,,,,CR
166,Arts,Music at CIT Cork School of Music,CR121,,,,,,,,8,Cork Institute of Technology,#,avp,,CR
167,Arts,Popular Music at CIT Cork School of Music,CR125,,,,,,,,8,Cork Institute of Technology,#,avp,,CR
168,Arts,Musical Theatre at CIT Cork School of Music,CR130,,,,,,,,8,Cork Institute of Technology,#,,,CR
169,Business and administration,Business Information Systems,CR150,,,,,,,,8,Cork Institute of Technology,,,,CR
170,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,,,,,,,,8,Cork Institute of Technology,#,,,CR
171,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,,,,,,,,8,Cork Institute of Technology,#,,,CR
172,Arts,Photography with New Media at CIT Crawford College of Art and Design,CR225,,,,,,,,8,Cork Institute of Technology,#,avp,,CR
173,Physical sciences,Physical Sciences (Common Entry),CR300,,,,,,,,7,Cork Institute of Technology,,,,CR
174,Physical sciences,Physical Sciences (Common Entry),CR305,,,,,,,,8,Cork Institute of Technology,,,,CR
175,Information and Communication Technologies (ICTs),IT Management,CR310,,,,,,,,8,Cork Institute of Technology,,,,CR
176,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,,*,,,,*,,8,Cork Institute of Technology,,,,CR
177,Biological and related sciences,Pharmaceutical Biotechnology,CR325,,,,,,,,8,Cork Institute of Technology,,,,CR
178,Health,Nutrition and Health Science,CR333,,,,,,,,8,Cork Institute of Technology,,,,CR
179,Biological and related sciences,Biological Sciences (Common Entry),CR335,,,,,,,,8,Cork Institute of Technology,,,,CR
180,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,,,,,,,,8,Cork Institute of Technology,,,,CR
181,Physical sciences,Instrument Engineering,CR360,,,,,,,,8,Cork Institute of Technology,,,,CR
182,Environment,Environmental Science and Sustainable Technology,CR365,,,,,,,,8,Cork Institute of Technology,,,,CR
183,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,,,,,,,,8,Cork Institute of Technology,,,,CR
184,Business and administration,Accounting,CR400,,,,,,,,8,Cork Institute of Technology,,,,CR
185,Business and administration,Marketing,CR420,,,,,,,,8,Cork Institute of Technology,,,,CR
186,Business and administration,International Business with Language,CR425,,,,,,,,8,Cork Institute of Technology,,,,CR
187,Personal services,Sport and Exercise Management,CR430,,,,,,,,8,Cork Institute of Technology,,,,CR
188,Education,Montessori Education,CR440,,,,,,,,8,Cork Institute of Technology,,,,CR
189,Engineering and engineering trades,Engineering (Common Entry),CR500,,,,,,,,8,Cork Institute of Technology,,,,CR
190,Environment,Sustainable Energy Engineering,CR510,,,,,,,,8,Cork Institute of Technology,,,,CR
191,Health,Biomedical Engineering,CR520,,,,,,,,8,Cork Institute of Technology,,,,CR
192,Architecture and construction,Architectural Technology,CR560,,,,,,,,8,Cork Institute of Technology,,,,CR
193,Architecture and construction,Interior Architecture,CR565,,,,,,,,8,Cork Institute of Technology,,,,CR
194,Architecture and construction,Quantity Surveying,CR570,,,,,,,,8,Cork Institute of Technology,,,,CR
195,Architecture and construction,Construction Management,CR572,,,,,,,,8,Cork Institute of Technology,,,,CR
196,Engineering and engineering trades,Electrical Engineering,CR580,,,,,,,,8,Cork Institute of Technology,,,,CR
197,Engineering and engineering trades,Electronic Engineering,CR590,,,,,,,,8,Cork Institute of Technology,,,,CR
198,Arts,Visual Communications at CIT Crawford College of Art and Design,CR600,,,,,,,,8,Cork Institute of Technology,#,,,CR
199,Welfare,Early Childhood Education and Care,CR620,,,,,,,,7,Cork Institute of Technology,,,,CR
200,Personal services,Culinary Arts,CR640,,,,,,,,7,Cork Institute of Technology,,avp,,CR
201,Personal services,Beverage Industry Management,CR650,,,,,,,,7,Cork Institute of Technology,,avp,,CR
202,Personal services,Culinary Studies,CR655,,,,,,,,6,Cork Institute of Technology,,avp,,CR
203,Personal services,Hospitality Studies,CR657,,,,,,,,6,Cork Institute of Technology,,,,CR
204,Personal services,Tourism Management,CR660,,,,,,,,8,Cork Institute of Technology,,,,CR
205,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,,,,,,,,8,Cork Institute of Technology,#,avp,,CR
206,Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,,,,,,,,7,Cork Institute of Technology,,,,CR
207,Information and Communication Technologies (ICTs),Information Technology,CR888,,,,,,,,7,Cork Institute of Technology,,,,CR
208,Education,Home Economics and Business,CR930,,*,,,,*,,8,Cork Institute of Technology,,,,CR
209,Arts,Arts - 3 years,CK101,,,,,,,,8,University College Cork (NUI),,,,CK
210,Social and behavioural sciences,Social Science,CK102,,,,,,,,8,University College Cork (NUI),,,,CK
211,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,,,,,,,,8,University College Cork (NUI),#,,,CK
212,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,,,,*,,,,8,University College Cork (NUI),,,,CK
213,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,,,,,,,,8,University College Cork (NUI),,,,CK
214,Languages,Arts International - 4 years,CK108,,*,,,,,,8,University College Cork (NUI),,,,CK
215,Languages,English - 3 years or 4 years (International Pathway),CK109,,,,,,,,8,University College Cork (NUI),,,,CK
216,Languages,World Languages,CK110,,,,,,,,8,University College Cork (NUI),,,,CK
217,Welfare,Early Years and Childhood Studies,CK111,,,,,,,,8,University College Cork (NUI),,,,CK
218,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,,,,,,,,8,University College Cork (NUI),#,,,CK
219,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,,,,,,,,8,University College Cork (NUI),,,,CK
220,Welfare,Social Science (Youth and Community Work),CK114,,,,,,,,8,University College Cork (NUI),#,,,CK
221,Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,,CK
222,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,,,,,,,,8,University College Cork (NUI),,,,CK
223,Social and behavioural sciences,Applied Psychology,CK120,,,,*,,*,,8,University College Cork (NUI),,,,CK
224,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,,,,,,,,8,University College Cork (NUI),,,,CK
225,Social and behavioural sciences,Government and Political Science,CK122,,,,,,,,8,University College Cork (NUI),,,,CK
226,Humanities (except languages),Anthropology,CK123,,,,,,,,8,University College Cork (NUI),,,,CK
227,Education,Education - Gaeilge,CK124,,,,,,,,8,University College Cork (NUI),,,,CK
228,Education,Sports Studies and Physical Education,CK125,,,,*,,*,,8,University College Cork (NUI),,,,CK
229,Business and administration,Commerce,CK201,,,,*,,*,,8,University College Cork (NUI),,,,CK
230,Business and administration,Accounting,CK202,,,,*,,*,,8,University College Cork (NUI),,,,CK
231,Information and Communication Technologies (ICTs),Business Information Systems,CK203,,,,,,,,8,University College Cork (NUI),,,,CK
232,Business and administration,Finance,CK204,,*,,*,,,,8,University College Cork (NUI),,,,CK
233,Business and administration,Commerce (International) with French,CK205,,,,,,,,8,University College Cork (NUI),,,,CK
234,Business and administration,Commerce (International) with German,CK206,,,,,,,,8,University College Cork (NUI),,,,CK
235,Business and administration,Commerce (International) with Italian,CK207,,,,,,,,8,University College Cork (NUI),,,,CK
236,Business and administration,Commerce (International) with Hispanic Studies,CK208,,,,,,,,8,University College Cork (NUI),,,,CK
237,Business and administration,Commerce (International) with Irish,CK209,,,,,,,,8,University College Cork (NUI),,,,CK
238,Business and administration,Commerce (International) with Chinese Studies,CK211,,,,,,,,8,University College Cork (NUI),,,,CK
239,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,,,,,,,,8,University College Cork (NUI),,,,CK
240,Business and administration,Food Marketing and Entrepreneurship,CK213,,,,,,,,8,University College Cork (NUI),,,,CK
241,Social and behavioural sciences,International Development,CK214,,,,,,,,8,University College Cork (NUI),,,,CK
242,Law,Law (Pathways) -  3 or 4 years,CK301,,,,*,,,,8,University College Cork (NUI),,,,CK
243,Law,Law and French,CK302,,,,,,,,8,University College Cork (NUI),,,,CK
244,Law,Law and Irish,CK304,,,,,,,,8,University College Cork (NUI),,,,CK
245,Law,Law and Business,CK307,,*,,*,,,,8,University College Cork (NUI),,,,CK
246,Information and Communication Technologies (ICTs),Computer Science,CK401,,,,,,,,8,University College Cork (NUI),,,,CK
247,Biological and related sciences,Biological and Chemical Sciences,CK402,,*,,,,*,,8,University College Cork (NUI),,,,CK
248,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,,,,*,,*,,8,University College Cork (NUI),,,,CK
249,Biological and related sciences,Genetics,CK405,,,,,,,,8,University College Cork (NUI),,,,CK
250,Physical sciences,Chemical Sciences,CK406,,,,,,,,8,University College Cork (NUI),,,,CK
251,Mathematics and statistics,Mathematical Sciences,CK407,,,,,,,,8,University College Cork (NUI),,,,CK
252,Physical sciences,Physics and Astrophysics,CK408,,,,,,,,8,University College Cork (NUI),,,,CK
253,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,,,,,,,,8,University College Cork (NUI),,,,CK
254,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,,,,,,,,8,University College Cork (NUI),,,,CK
255,Agriculture,Agricultural Science,CK412,,,,,,,,8,University College Cork (NUI),,,,CK
256,Biological and related sciences,Nutritional Sciences,CK504,,,,*,,*,,8,University College Cork (NUI),,,,CK
257,Manufacturing and processing,Food Science,CK505,,,,,,,,8,University College Cork (NUI),,,,CK
258,Engineering and engineering trades,Engineering,CK600,,,,*,,,,8,University College Cork (NUI),,,,CK
259,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,,,,,,,,8,University College Cork (NUI),,,,CK
260,Health,Medicine (Undergraduate Entry - HPAT required),CK701,,,,*,,*,,8,University College Cork (NUI),#,,,CK
