,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
0,Engineering and engineering trades,Music and Instrument Technology,AL605,,,,,,,,6,Athlone Institute of Technology,,,,AL
1,Health,Pharmacy Technician,AL630,,,,,,,,6,Athlone Institute of Technology,,,,AL
2,Health,Dental Nursing,AL631,,,,,,,,6,Athlone Institute of Technology,,,,AL
3,Biological and related sciences,Applied Science,AL632,,,,,,,,6,Athlone Institute of Technology,,,,AL
4,Business and administration,Business,AL650,,,,,,,,6,Athlone Institute of Technology,,avp,,AL
5,Personal services,Culinary Arts,AL660,,,,,,,,6,Athlone Institute of Technology,,avp,,AL
6,Personal services,Bar Supervision,AL661,,,,,,,,6,Athlone Institute of Technology,,avp,,AL
7,Personal services,Business (Sport and Recreation),AL663,,,,,,,,6,Athlone Institute of Technology,,avp,,AL
8,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL701,,,,,,,,7,Athlone Institute of Technology,,,,AL
9,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL702,,,,,,,,7,Athlone Institute of Technology,,,,AL
10,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL703,,,,,,,,7,Athlone Institute of Technology,,,,AL
11,Information and Communication Technologies (ICTs),Computer Engineering,AL704,,,,,,,,7,Athlone Institute of Technology,,,,AL
12,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL705,,,,,,,,7,Athlone Institute of Technology,,,,AL
13,Engineering and engineering trades,Mechanical Engineering,AL710,,,,,,,,7,Athlone Institute of Technology,,,,AL
14,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,,,,,,,,7,Athlone Institute of Technology,,,,AL
15,Engineering and engineering trades,Automation and Robotics,AL712,,,,,,,,7,Athlone Institute of Technology,,,,AL
16,Engineering and engineering trades,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,,,,,,,,7,Athlone Institute of Technology,,,,AL
17,Engineering and engineering trades,Music and Sound Engineering,AL718,,,,,,,,7,Athlone Institute of Technology,,,,AL
18,Architecture and construction,Civil Engineering,AL721,,,,,,,,7,Athlone Institute of Technology,,,,AL
19,Biological and related sciences,Biotechnology,AL730,,,,,,,,7,Athlone Institute of Technology,,,,AL
20,Veterinary,Veterinary Nursing,AL731,,,,,,,,7,Athlone Institute of Technology,,,,AL
21,Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,,,,,,,,7,Athlone Institute of Technology,,,,AL
22,Personal services,Exercise and Health Science,AL740,,,,,,,,7,Athlone Institute of Technology,,,,AL
23,Business and administration,Digital Marketing,AL751,,,,,,,,7,Athlone Institute of Technology,,,,AL
24,Business and administration,Business,AL752,,,,,,,,7,Athlone Institute of Technology,,,,AL
25,Personal services,Hotel and Leisure Management,AL761,,,,,,,,7,Athlone Institute of Technology,,avp,,AL
26,Arts,Graphic Design (portfolio),AL763,,,,,,,,7,Athlone Institute of Technology,#,,,AL
27,Welfare,Early Years Care and Education,AL764,,,,,,,,7,Athlone Institute of Technology,,,,AL
28,Welfare,Applied Social Studies in Social Care,AL765,,,,,,,,7,Athlone Institute of Technology,,,,AL
29,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL801,,,,,,,,8,Athlone Institute of Technology,,,,AL
30,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL802,,,,,,,,8,Athlone Institute of Technology,,,,AL
31,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL803,,,,,,,,8,Athlone Institute of Technology,,,,AL
32,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL805,,,,,,,,8,Athlone Institute of Technology,,,,AL
