,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
271,Health,Midwifery,CK740,,*,,,,,,8,University College Cork (NUI),,,
272,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,,*,,*,,*,,8,University College Cork (NUI),#,,
273,Business and administration,International Business,AC120,,,,,,,,8,American College,,avp,
274,Humanities (except languages),Liberal Arts,AC137,,,,,,,,8,American College,,avp,
275,Information and Communication Technologies (ICTs),Computing and IT,CT125,,,,,,,,8,CCT College Dublin,,avp,
276,Business and administration,Business,CT325,,,,,,,,8,CCT College Dublin,,avp,
277,Education,Education - Primary Teaching,CM001,,,,,,,,8,Marino Institute of Education,,,
278,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,
279,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM003,,,,,,,,8,Marino Institute of Education,#,,
280,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM004,,,,,,,,8,Marino Institute of Education,#,,
281,Education,Education Studies,CM010,,,,,,,,8,Marino Institute of Education,,avp,
282,Education,Early Childhood Education,CM020,,,,,,,,8,Marino Institute of Education,,,
283,Information and Communication Technologies (ICTs),Higher Certificate in Science in Computing Level 6 (2 years),DS602,,,,,,,,6,Dorset College,,,
284,Business and administration,Bachelor of Business Level 7 (3 years),DS701,,,,,,,,7,Dorset College,,,
285,Information and Communication Technologies (ICTs),BSc in Computing Level 7 (3 years),DS702,,,,,,,,7,Dorset College,,,
286,Information and Communication Technologies (ICTs),Computing,DB500,,,,,,,,8,Dublin Business School,,avp,
287,Information and Communication Technologies (ICTs),Computing (Cloud Computing),DB501,,,,,,,,8,Dublin Business School,,avp,
288,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),DB502,,,,,,,,8,Dublin Business School,,avp,
289,Information and Communication Technologies (ICTs),Computing (Software Development),DB503,,,,,,,,8,Dublin Business School,,,
290,Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),DB504,,,,,,,,8,Dublin Business School,,,
291,Arts,Audio Production and Music Project Management,DB510,,,,,,,,8,Dublin Business School,,avp,
292,Business and administration,Business Studies,DB512,,,,,,,,8,Dublin Business School,,avp,
293,Business and administration,Business Studies (Law),DB514,,,,,,,,8,Dublin Business School,,avp,
294,Business and administration,Business Studies (Human Resource Management),DB515,,,,,,,,8,Dublin Business School,,avp,
295,Business and administration,Marketing (Event Management),DB517,,,,,,,,8,Dublin Business School,,avp,
296,Business and administration,Marketing (Digital Media),DB518,,,,,,,,8,Dublin Business School,,avp,
297,Business and administration,Accounting and Finance,DB521,,,,,,,,8,Dublin Business School,,avp,
298,Information and Communication Technologies (ICTs),Business (Information Systems),DB524,,,,,,,,8,Dublin Business School,,avp,
299,Business and administration,Marketing (Digital Media and Cloud Computing),DB525,,,,,,,,8,Dublin Business School,,avp,
300,Information and Communication Technologies (ICTs),Business (Cloud Computing),DB526,,,,,,,,8,Dublin Business School,,avp,
301,Social and behavioural sciences,Applied Social Care,DB527,,,,,,,,8,Dublin Business School,,avp,
302,Social and behavioural sciences,Applied Social Care,DB528,,,,,,,,7,Dublin Business School,,avp,
303,Business and administration,Marketing,DB531,,,,,,,,8,Dublin Business School,,avp,
304,Arts,Sound Engineering and Music Production,DB534,,,,,,,,6,Dublin Business School,,avp,
305,Social and behavioural sciences,Psychology,DB562,,,,,,,,8,Dublin Business School,,avp,
306,Arts,Arts,DB563,,,,,,,,6,Dublin Business School,,avp,
307,Social and behavioural sciences,Social Science,DB566,,,,,,,,8,Dublin Business School,,avp,
308,Arts,Film and Creative Media,DB567,,,,,,,,8,Dublin Business School,,avp,
309,Law,Law,DB568,,,,,,,,8,Dublin Business School,,avp,
310,Business and administration,Business (Psychology),DB569,,,,,,,,8,Dublin Business School,,avp,
311,Business and administration,Business Studies,DB571,,,,,,,,7,Dublin Business School,,avp,
312,Business and administration,Business (Accounting),DB572,,,,,,,,7,Dublin Business School,,avp,
313,Business and administration,Business (Marketing),DB573,,,,,,,,7,Dublin Business School,,avp,
314,Information and Communication Technologies (ICTs),Business (Information Technology),DB574,,,,,,,,7,Dublin Business School,,avp,
315,Arts,Film and Creative Media,DB576,,,,,,,,7,Dublin Business School,,avp,
316,Education,Education - Early Childhood Education,DC001,,,,,,,,8,Dublin City University,,,
317,Education,Education - Primary Teaching,DC002,,*,,,,*,,8,Dublin City University,,,
318,Education,Education - Primary Teaching - Gaeltacht Applicants,DC003,,,,,,,,8,Dublin City University,#,,
319,Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,,,,,,,,8,Dublin City University,#,,
320,Arts,Arts (Joint Honours) - Humanities,DC009,,,,,,,,8,Dublin City University,,,
321,Education,Post Primary Teacher Education - Religious Education and English,DC010,,,,,,,,8,Dublin City University,,,
322,Education,Post Primary Teacher Education - Religious Education and History,DC011,,,,,,,,8,Dublin City University,,,
323,Education,Post Primary Teacher Education - Religious Education and Music,DC012,,,,,,,,8,Dublin City University,#,,
324,Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,,,,,,,,8,Dublin City University,,,
325,Arts,BA in Jazz and Contemporary Music Performance (audition),DC014,,,,,,,,8,Dublin City University,#,,
326,Business and administration,Business Studies International,DC110,,,,,,,,8,Dublin City University,#,,
327,Business and administration,Business Studies,DC111,,,,,,,,8,Dublin City University,,,
328,Business and administration,Global Business (France),DC112,,*,,,,*,,8,Dublin City University,,,
329,Business and administration,Global Business (Germany),DC113,,,,,,,,8,Dublin City University,,,
330,Business and administration,Global Business (Spain),DC114,,,,,,,,8,Dublin City University,,,
331,Business and administration,Accounting and Finance,DC115,,,,,,,,8,Dublin City University,,,
332,Business and administration,Global Business (USA),DC116,,*,,,,*,,8,Dublin City University,,,
333,Business and administration,Aviation Management / Aviation Management with Pilot Studies,DC117,,,,,,,,8,Dublin City University,,,
334,Business and administration,Gnó agus Gaeilge / Business and Irish,DC118,,,,,,,,8,Dublin City University,,,
335,Business and administration,Global Business (Canada),DC119,,,,,,,,8,Dublin City University,,,
336,Information and Communication Technologies (ICTs),Computing for Business,DC120,,,,,,,,8,Dublin City University,,,
337,Information and Communication Technologies (ICTs),Computer Science,DC121,,,,,,,,8,Dublin City University,,,
338,Information and Communication Technologies (ICTs),Data Science,DC123,,,,,,,,8,Dublin City University,,,
339,Mathematics and statistics,Actuarial Mathematics,DC126,,*,,,,*,,8,Dublin City University,,,
340,Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,,,,,,,,8,Dublin City University,,,
341,Journalism and information,Communication Studies,DC131,,,,,,,,8,Dublin City University,,,
342,Journalism and information,Journalism,DC132,,,,,,,,8,Dublin City University,,,
343,Arts,Multimedia,DC133,,,,,,,,8,Dublin City University,,,
344,Languages,Applied Language and Translation Studies,DC155,,,,,,,,8,Dublin City University,,,
345,Physical sciences,Analytical Science,DC161,,,,,,,,8,Dublin City University,,,
346,Physical sciences,Chemical and Pharmaceutical Sciences,DC162,,*,,,,,,8,Dublin City University,,,
347,Physical sciences,Chemical Sciences General Entry (Undenominated Entry),DC163,,*,,,,*,,8,Dublin City University,,,
348,Environment,Environmental Science and Technology,DC166,,*,,,,*,,8,Dublin City University,,,
349,Biological and related sciences,Genetics and Cell Biology,DC168,,*,,,,*,,8,Dublin City University,,,
350,Physical sciences,Physics General Entry (options),DC175,,,,,,,,8,Dublin City University,,,
351,Biological and related sciences,Biological Sciences General Entry (Undenominated Entry),DC180,,,,,,,,8,Dublin City University,,,
352,Biological and related sciences,Biotechnology,DC181,,,,,,,,8,Dublin City University,,,
353,Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,,,,,,,,8,Dublin City University,,,
354,Engineering and engineering trades,Mechatronic Engineering,DC193,,,,,,,,8,Dublin City University,,,
355,Environment,Sustainable Systems and Energy,DC194,,,,,,,,8,Dublin City University,,,
356,Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,,,,,,,,8,Dublin City University,,,
357,Health,Biomedical Engineering,DC197,,,,,,,,8,Dublin City University,,,
358,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,,,,,,,,8,Dublin City University,,,
359,Health,Sport Science and Health,DC202,,,,,,,,8,Dublin City University,,,
360,Education,Science Education,DC203,,,,,,,,8,Dublin City University,,,
361,Health,Athletic Therapy and Training,DC204,,,,,,,,8,Dublin City University,,,
362,Education,Physical Education with Biology,DC205,,,,,,,,8,Dublin City University,,,
363,Education,Physical Education with Mathematics,DC206,,,,,,,,8,Dublin City University,,,
364,Social and behavioural sciences,Psychology and Mathematics,DC207,,,,,,,,8,Dublin City University,,,
365,Social and behavioural sciences,Psychology,DC208,,,,,,,,8,Dublin City University,,,
366,Health,Health and Society,DC209,,,,,,,,8,Dublin City University,,,
367,Social and behavioural sciences,Psychology and Disruptive Technologies,DC210,,,,,,,,8,Dublin City University,,,
368,Health,General Nursing,DC215,,*,,,,*,,8,Dublin City University,,,
369,Health,Mental Health Nursing,DC216,,,,,,,,8,Dublin City University,,,
370,Health,Intellectual Disability Nursing,DC217,,,,,,,,8,Dublin City University,,,
371,Health,Children`s and General Nursing (Integrated),DC218,,*,,,,*,,8,Dublin City University,,,
372,Social and behavioural sciences,"Economics, Politics and Law",DC230,,,,,,,,8,Dublin City University,,,
373,Social and behavioural sciences,International Relations,DC231,,,,,,,,8,Dublin City University,,,
374,Law,Law and Society (BCL),DC232,,,,,,,,8,Dublin City University,,,
375,Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,,,,,,,,8,Dublin City University,,,
376,Humanities (except languages),Social Sciences and Cultural Innovation,DC238,,,,,,,,8,Dublin City University,,,
377,Business and administration,"Marketing, Innovation and Technology",DC240,,,,,,,,8,Dublin City University,,,
378,Business and administration,Digital Business and Innovation,DC241,,,,,,,,8,Dublin City University,,,
379,Arts,Arts (Joint Honours) - Media Studies,DC291,,,,,,,,8,Dublin City University,,,
380,Arts,Arts (Joint Honours) - Law,DC292,,,,,,,,8,Dublin City University,,,
381,Arts,Arts (Joint Honours) - International Languages,DC293,,,,,,,,8,Dublin City University,,,
382,Environment,Climate and Environmental Sustainability,DC294,,,,,,,,8,Dublin City University,,,
383,Arts,Arts (Joint Honours) - Politics,DC295,,,,,,,,8,Dublin City University,,,
384,Business and administration,Business - Applied Entrepreneurship,DL701,,,,,,,,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,
385,Business and administration,Arts Management,DL822,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
386,Business and administration,Business Management,DL823,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
387,Social and behavioural sciences,Applied Psychology,DL825,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
388,Arts,Graphic Design,DL826,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
389,Arts,Art,DL827,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
390,Arts,Animation,DL832,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
391,Arts,Photography and Visual Media,DL833,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,
392,Information and Communication Technologies (ICTs),Creative Computing,DL836,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
393,Humanities (except languages),New Media Studies,DL837,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
394,Arts,Creative Music Production,DL838,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
395,Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,
396,Business and administration,Digital Marketing,DL840,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
397,Arts,English and Equality Studies,DL841,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,
398,Arts,Film,DL843,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
399,Arts,Television,DL844,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
400,Arts,Design for Film (degree options),DL845,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
401,Business and administration,Business,GC200,,,,,,,,8,Griffith College,,avp,
402,Business and administration,Accounting and Finance,GC201,,,,,,,,8,Griffith College,,avp,
403,Information and Communication Technologies (ICTs),Computing Science,GC230,,,,,,,,8,Griffith College,,avp,
404,Journalism and information,Communications and Media Production,GC250,,,,,,,,8,Griffith College,,,
405,Business and administration,Business,GC300,,,,,,,,8,Griffith College,,avp,
406,Business and administration,Accounting and Finance,GC301,,,,,,,,8,Griffith College,,avp,
407,Business and administration,Business - HRM,GC302,,,,,,,,8,Griffith College,,avp,
408,Business and administration,Business (Marketing),GC307,,,,,,,,8,Griffith College,,avp,
409,Information and Communication Technologies (ICTs),Computing,GC335,,,,,,,,7,Griffith College,,avp,
410,Business and administration,Business,GC400,,,,,,,,8,Griffith College,,avp,
411,Business and administration,Accounting and Finance,GC401,,,,,,,,8,Griffith College,,avp,
412,Business and administration,Business (HRM),GC402,,,,,,,,8,Griffith College,,,
413,Law,Law,GC403,,,,,,,,8,Griffith College,,avp,
414,Business and administration,Business (Marketing),GC407,,,,,,,,8,Griffith College,,avp,
415,Business and administration,Marketing,GC410,,,,,,,,7,Griffith College,,avp,
416,Business and administration,Business,GC411,,,,,,,,7,Griffith College,,avp,
417,Information and Communication Technologies (ICTs),Computing Science,GC430,,,,,,,,8,Griffith College,,avp,
418,Information and Communication Technologies (ICTs),Computing,GC435,,,,,,,,7,Griffith College,,avp,
419,Journalism and information,Communications and Media Production,GC450,,,,,,,,8,Griffith College,,avp,
420,Arts,Music Production for Games (portfolio),GC460,,,,,,,,6,Griffith College,#,avp,
421,Arts,Design Communication (portfolio),GC462,,,,,,,,8,Griffith College,#,avp,
422,Journalism and information,Communications,GC465,,,,,,,,7,Griffith College,,avp,
423,Arts,Film and TV Production,GC466,,,,,,,,7,Griffith College,,avp,
424,Arts,Photographic Media,GC470,,,,,,,,7,Griffith College,,avp,
425,Arts,Photography,GC475,,,,,,,,6,Griffith College,,avp,
426,Arts,Interior Architecture (portfolio),GC489,,,,,,,,8,Griffith College,#,avp,
427,Arts,Interior Design,GC490,,,,,,,,7,Griffith College,,avp,
428,Arts,Fashion Design (portfolio),GC494,,,,,,,,8,Griffith College,#,avp,
429,Arts,Fashion,GC495,,,,,,,,7,Griffith College,,avp,
430,Business and administration,Business,BY001,,,,,,,,8,IBAT College Dublin,,avp,
431,Business and administration,Business,BY002,,,,,,,,7,IBAT College Dublin,,avp,
432,Business and administration,Accounting and Finance,ID001,,,,,,,,8,ICD Business School,,avp,
433,Business and administration,Business Studies,ID002,,,,,,,,8,ICD Business School,,avp,
434,Arts,"First Year Art and Design (Common Entry,portfolio)",AD101,,,,,,,,8,National College of Art and Design,#,,
435,Arts,Graphic Design and Moving Image Design (portfolio),AD102,,,,,,,,8,National College of Art and Design,#,,
436,Arts,Textile and Surface Design and Jewellery and Objects (portfolio),AD103,,,,,,,,8,National College of Art and Design,#,,
437,Education,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD202,,,,,,,,8,National College of Art and Design,#,,
438,Arts,Fine Art (portfolio),AD204,,,,,,,,8,National College of Art and Design,#,,
439,Arts,Fashion Design (portfolio),AD211,,,,,,,,8,National College of Art and Design,#,,
440,Arts,Product Design (portfolio),AD212,,,,,,,,8,National College of Art and Design,#,,
441,Arts,Visual Culture,AD215,,,,,,,,8,National College of Art and Design,,,
442,Arts,Illustration (portfolio),AD217,,,,,,,,8,National College of Art and Design,#,,
443,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,,,,,,,,8,National College of Art and Design,#,,
444,Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,,,,,,,,8,National College of Ireland (NCI),,,
445,Business and administration,Human Resource Management,NC005,,,,,,,,8,National College of Ireland (NCI),,,
446,Business and administration,Business,NC009,,,,,,,,8,National College of Ireland (NCI),,,
447,Social and behavioural sciences,Psychology,NC010,,,,,,,,8,National College of Ireland (NCI),,,
448,Business and administration,Marketing Practice,NC020,,,,,,,,8,National College of Ireland (NCI),,,
449,Business and administration,Accounting and Finance,NC022,,,,,,,,8,National College of Ireland (NCI),,,
450,Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,,,,,,,,8,National College of Ireland (NCI),,,
451,Education,Early Childhood Education and Care,NC030,,,,,,,,8,National College of Ireland (NCI),,avp,
452,Information and Communication Technologies (ICTs),Computing,NC102,,,,,,,,6,National College of Ireland (NCI),,,
453,Business and administration,Business,NC103,,,,,,,,6,National College of Ireland (NCI),,,
454,Information and Communication Technologies (ICTs),Business Computing,NC104,,,,,,,,6,National College of Ireland (NCI),,,
455,Health,Medicine - Undergraduate Entry (HPAT required),RC001,,,,*,,*,,8,RCSI University of Medicine & Health Sciences,#,,
456,Health,Physiotherapy,RC004,,*,,*,,*,,8,RCSI University of Medicine & Health Sciences,,,
457,Health,Pharmacy,RC005,,*,,,,*,,8,RCSI University of Medicine & Health Sciences,,,
458,Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,,*,,8,RCSI University of Medicine & Health Sciences,#,,
459,Education,Montessori Education,NM701,,,,,,,,7,St Nicholas Montessori College Ireland,,avp,
460,Education,Montessori Education,NM801,,,,,,,,8,St Nicholas Montessori College Ireland,,avp,
461,Social and behavioural sciences,Psychology,NM802,,,,,,,,8,St Nicholas Montessori College Ireland,,avp,
462,Engineering and engineering trades,Electronic and Information Engineering,TU605,,,,,,,,6,Technological University Dublin,,,
463,Engineering and engineering trades,Mechanical Engineering (General Entry),TU606,,,,,,,,6,Technological University Dublin,,,
464,Personal services,Bar and Restaurant Management,TU641,,,,,,,,6,Technological University Dublin,,,
465,Personal services,Culinary Arts (Cuisine and Wellness),TU642,,,,,,,,6,Technological University Dublin,,avp,
466,Personal services,Culinary Arts (Professional Cookery Practice),TU643,,,,,,,,6,Technological University Dublin,,,
467,Personal services,Food Management and Entrepreneurship,TU644,,,,,,,,6,Technological University Dublin,,,
468,Manufacturing and processing,Food Science and Management,TU645,,,,,,,,6,Technological University Dublin,,,
469,Biological and related sciences,Applied Biology,TU651,,,,,,,,6,Technological University Dublin,,,
470,Information and Communication Technologies (ICTs),Computing,TU652,,,,,,,,6,Technological University Dublin,,,
471,Health,Pharmacy Technician Studies,TU654,,,,,,,,6,Technological University Dublin,,,
472,Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,,,,,,,,6,Technological University Dublin,#,avp,
473,Business and administration,Business (campus options),TU670,,,,,,,,6,Technological University Dublin,,,
474,Business and administration,Business Management,TU673,,,,,,,,6,Technological University Dublin,,,
475,Business and administration,Business Studies,TU674,,,,,,,,6,Technological University Dublin,,,
476,Business and administration,Marketing,TU675,,,,,,,,6,Technological University Dublin,,,
477,Business and administration,Retail Management and Marketing,TU676,,,,,,,,6,Technological University Dublin,,,
478,Engineering and engineering trades,Automation Engineering,TU701,,,,,,,,7,Technological University Dublin,,,
479,Environment,Sustainable Energy and Environmental Engineering,TU702,,,,,,,,7,Technological University Dublin,,,
480,Engineering and engineering trades,Building Engineering,TU703,,,,,,,,7,Technological University Dublin,,,
481,Architecture and construction,Civil Engineering,TU704,,,,,,,,7,Technological University Dublin,,,
482,Engineering and engineering trades,Electrical and Control Engineering,TU705,,,,,,,,7,Technological University Dublin,,,
483,Engineering and engineering trades,Electrical Services Engineering,TU706,,,,,,,,7,Technological University Dublin,,,
484,Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,,,,,,,,7,Technological University Dublin,,avp,v
485,Engineering and engineering trades,Engineering (General Entry),TU709,,,,,,,,7,Technological University Dublin,,,
486,Engineering and engineering trades,Mechatronic Engineering,TU711,,,,,,,,7,Technological University Dublin,,,
487,Engineering and engineering trades,Computer Engineering,TU713,,,,,,,,7,Technological University Dublin,,,
488,Engineering and engineering trades,Electronics and Communications Engineering,TU714,,,,,,,,7,Technological University Dublin,,,
489,Engineering and engineering trades,Networking Technology,TU716,,,,,,,,7,Technological University Dublin,,,
490,Engineering and engineering trades,Mechanical Engineering,TU717,,,,,,,,7,Technological University Dublin,,,
491,Manufacturing and processing,"Design,Technology and Innovation",TU719,,,,,,,,7,Technological University Dublin,,,
492,Engineering and engineering trades,Automotive Management and Technology,TU720,,,,,,,,7,Technological University Dublin,,,
493,Engineering and engineering trades,Aviation Technology,TU721,,,,,,,,7,Technological University Dublin,,,
494,Manufacturing and processing,Process Instrumentation and Automation Learn and Work (Test&Interview),TU722,,,,,,,,7,Technological University Dublin,#,avp,
495,Engineering and engineering trades,Mechanical Engineering (General Entry),TU725,,,,,,,,7,Technological University Dublin,,,
496,Engineering and engineering trades,Electronic Engineering (General Entry),TU726,,,,,,,,7,Technological University Dublin,,,
497,Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,,,,,,,,7,Technological University Dublin,,,
498,Personal services,Sports Management and Coaching,TU735,,,,,,,,7,Technological University Dublin,,,
499,Biological and related sciences,Sports Science and Health,TU736,,,,,,,,7,Technological University Dublin,,,
500,Personal services,Sports Studies,TU737,,,,,,,,7,Technological University Dublin,,,
501,Personal services,Baking and Pastry Arts Management,TU741,,,,,,,,7,Technological University Dublin,,,
502,Personal services,Culinary Arts,TU742,,,,,,,,7,Technological University Dublin,,,
503,Personal services,Hospitality Management,TU745,,,,,,,,7,Technological University Dublin,,,
504,Personal services,International Hospitality and Tourism Management,TU746,,,,,,,,7,Technological University Dublin,,,
505,Personal services,Tourism Management,TU747,,,,,,,,7,Technological University Dublin,,,
506,Biological and related sciences,Biosciences,TU751,,,,,,,,7,Technological University Dublin,,,
507,Biological and related sciences,DNA and Forensic Analysis,TU752,,,,,,,,7,Technological University Dublin,,,
508,Physical sciences,Industrial and Environmental Physics,TU754,,,,,,,,7,Technological University Dublin,,,
509,Physical sciences,Science (General Entry),TU755,,,,,,,,7,Technological University Dublin,,,
510,Information and Communication Technologies (ICTs),Computing,TU756,,,,,,,,7,Technological University Dublin,,,
511,Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,,,,,,,,7,Technological University Dublin,,,
512,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,,,,,,,,7,Technological University Dublin,,,
513,Biological and related sciences,Bioanalysis,TU760,,,,,,,,7,Technological University Dublin,,,
514,Health,Ophthalmic Dispensing,TU761,,,,,,,,7,Technological University Dublin,,,
515,Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,,,,,,,,7,Technological University Dublin,,,
516,Biological and related sciences,Pharmaceutical Science,TU763,,,,,,,,7,Technological University Dublin,,,
517,Business and administration,Business (options),TU772,,,,,,,,7,Technological University Dublin,,avp,v
518,Business and administration,Advertising and Marketing Communications,TU780,,,,,,,,7,Technological University Dublin,,,
519,Business and administration,Digital Marketing,TU781,,,,,,,,7,Technological University Dublin,,,
520,Business and administration,Digital Marketing,TU782,,,,,,,,7,Technological University Dublin,,,
521,Business and administration,Business (options),TU787,,,,,,,,7,Technological University Dublin,,,
522,Business and administration,Accounting and Finance (campus options),TU788,,,,,,,,7,Technological University Dublin,,,
523,Education,Early Childhood Care and Education (campus options),TU790,,,,,,,,7,Technological University Dublin,,,
524,Welfare,Applied Social Studies in Social Care,TU791,,,,,,,,7,Technological University Dublin,,,
525,Social and behavioural sciences,Community and Youth Development,TU792,,,,,,,,7,Technological University Dublin,,avp,v
526,Arts,Visual Merchandising and Display,TU795,,,,,,,,7,Technological University Dublin,#,,
527,Arts,Creative Digital Media,TU796,,,,,,,,7,Technological University Dublin,,,
528,Environment,Sustainable Energy Engineering,TU801,,,,,,,,8,Technological University Dublin,,,
529,Engineering and engineering trades,Electrical Services and Energy Management,TU802,,,,,,,,8,Technological University Dublin,,,
530,Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,,,,,,,,8,Technological University Dublin,,,
531,Engineering and engineering trades,Engineering (General Entry),TU805,,,,,,,,8,Technological University Dublin,,,
532,Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,,,,,,,,8,Technological University Dublin,,,
533,Engineering and engineering trades,Mechatronic Engineering,TU810,,,,,,,,8,Technological University Dublin,,,
534,Arts,Product Design,TU811,,,,,,,,8,Technological University Dublin,,,
535,Manufacturing and processing,"Design,Technology and Innovation",TU812,,,,,,,,8,Technological University Dublin,,,
536,Transport services,Sustainable Transport Management,TU814,,,,,,,,8,Technological University Dublin,,avp,
537,Engineering and engineering trades,Mechanical Engineering (General Entry),TU828,,,,,,,,8,Technological University Dublin,,,
538,Engineering and engineering trades,Electronic Engineering (General Entry),TU829,,,,,,,,8,Technological University Dublin,,avp,
539,Architecture and construction,Architectural Technology,TU831,,,,,,,,8,Technological University Dublin,,,
540,Architecture and construction,Architecture (Suitability Test and Interview),TU832,,,,,,,,8,Technological University Dublin,#,,
541,Architecture and construction,Construction Management,TU833,,,,,,,,8,Technological University Dublin,,,
542,Architecture and construction,Geographic Science,TU834,,,,,,,,8,Technological University Dublin,,,
543,Architecture and construction,Planning and Environmental Management,TU835,,,,,,,,8,Technological University Dublin,,,
544,Architecture and construction,Property Economics (Valuation Surveying),TU836,,,,,,,,8,Technological University Dublin,,,
545,Architecture and construction,Quantity Surveying and Construction Economics,TU837,,,,,,,,8,Technological University Dublin,,,
546,Environment,Sustainable Timber Technology,TU838,,,,,,,,8,Technological University Dublin,,avp,
547,Environment,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",TU851,,,,,,,,8,Technological University Dublin,,,
548,Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,,,,,,,,8,Technological University Dublin,,,
549,Biological and related sciences,Science (General Entry),TU854,,,,,,,,8,Technological University Dublin,,,
550,Physical sciences,Science with Nanotechnology,TU855,,,,,,,,8,Technological University Dublin,,,
551,Information and Communication Technologies (ICTs),Computer Science,TU856,,,,,,,,8,Technological University Dublin,,,
552,Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,,,,,,,,8,Technological University Dublin,,,
553,Information and Communication Technologies (ICTs),Computer Science (International),TU858,,,,,,,,8,Technological University Dublin,,,
554,Information and Communication Technologies (ICTs),Computing,TU859,,,,,,,,8,Technological University Dublin,,,
555,Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,,,,,,,,8,Technological University Dublin,,,
556,Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,,,,,,,,8,Technological University Dublin,,avp,
557,Information and Communication Technologies (ICTs),Computing with Artificial Intelligence Machine Learning,TU862,,,,,,,,8,Technological University Dublin,,,
558,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,,,,,,,,8,Technological University Dublin,,,
559,Biological and related sciences,DNA and Forensic Analysis,TU864,,,,,,,,8,Technological University Dublin,,,
560,Information and Communication Technologies (ICTs),Cloud Computing,TU865,,,,,,,,8,Technological University Dublin,,,
561,Health,Biomedical and Molecular Diagnostics,TU866,,,,,,,,8,Technological University Dublin,,,
562,Health,Biomedical Science,TU867,,,,*,,,,8,Technological University Dublin,,,
563,Health,Clinical Measurement Science,TU868,,,,,,,,8,Technological University Dublin,,,
564,Hygiene and occupational health services,Environmental Health,TU869,,,,,,,,8,Technological University Dublin,,,
565,Health,Human Nutrition and Dietetics,TU870,,*,,,,,,8,Technological University Dublin,,,
566,Health,Optometry,TU871,,,,,,,,8,Technological University Dublin,,,
567,Biological and related sciences,Public Health Nutrition,TU872,,,,,,,,8,Technological University Dublin,,,
568,Mathematics and statistics,Mathematical Sciences,TU874,,,,,,,,8,Technological University Dublin,,avp,
