,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
62,Agriculture,Sustainable Farm Management and Agribusiness,CW027,,,,,,,,7,"Institute of Technology, Carlow",,,
63,Welfare,Early Childhood Education and Care,CW028,,,,,,,,8,"Institute of Technology, Carlow",,,
64,Business and administration,Business (options),CW037,,,,,,,,7,"Institute of Technology, Carlow",,,
65,Arts,Art (portfolio),CW038,700.0,,,,,,,8,"Institute of Technology, Carlow",#,,
66,Arts,Visual Communications and Design,CW047,,,,,,,,7,"Institute of Technology, Carlow",,,
67,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW048,,,,,,,,8,"Institute of Technology, Carlow",,,
68,Arts,Art (portfolio),CW057,700.0,,,,,,,7,"Institute of Technology, Carlow",#,,
69,Personal services,Tourism and Event Management,CW058,,,,,,,,8,"Institute of Technology, Carlow",,,
70,Welfare,Applied Social Studies in Professional Social Care,CW068,,,,,,,,8,"Institute of Technology, Carlow",,,
71,Personal services,Tourism and Event Management,CW077,,,,,,,,7,"Institute of Technology, Carlow",,,
72,Agriculture,Sustainable Farm Management and Agribusiness,CW078,,,,,,,,8,"Institute of Technology, Carlow",,,
73,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW087,,,,,,,,7,"Institute of Technology, Carlow",,,
74,Arts,Visual Communications and Design,CW088,,,,,,,,8,"Institute of Technology, Carlow",,,
75,Health,Physiology and Health Science,CW106,,,,,,,,6,"Institute of Technology, Carlow",,,
76,Environment,Analytical Science,CW107,,,,,,,,7,"Institute of Technology, Carlow",,,
77,Biological and related sciences,Science (options),CW108,,,,,,,,8,"Institute of Technology, Carlow",,,
78,Health,Pharmacy Technician Studies,CW116,,,,,,,,6,"Institute of Technology, Carlow",,,
79,Environment,Biosciences,CW117,,,,,,,,7,"Institute of Technology, Carlow",,,
80,Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,,,,,,,,6,"Institute of Technology, Carlow",,,
81,Manufacturing and processing,Brewing and Distilling,CW128,,,,,,,,8,"Institute of Technology, Carlow",,,
82,Personal services,Sport and Exercise Science,CW138,,,,,,,,8,"Institute of Technology, Carlow",,,
83,Personal services,Strength and Conditioning,CW148,,,,,,,,8,"Institute of Technology, Carlow",,,
84,Health,Sport Rehabilitation and Athletic Therapy,CW188,,,,,,,,8,"Institute of Technology, Carlow",,,
85,Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,,,,,,,,6,"Institute of Technology, Carlow",,,
86,Information and Communication Technologies (ICTs),Software Development,CW207,,,,,,,,7,"Institute of Technology, Carlow",,,
87,Information and Communication Technologies (ICTs),Computer Games Development,CW208,,,,,,,,8,"Institute of Technology, Carlow",,,
88,Information and Communication Technologies (ICTs),Information Technology Management,CW217,,,,,,,,7,"Institute of Technology, Carlow",,,
