,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
359,Health,Sport Science and Health,DC202,511.0,,,,511.0,,532.0,8,Dublin City University,,,,DC
360,Education,Science Education,DC203,462.0,,,,462.0,,509.0,8,Dublin City University,,,,DC
361,Health,Athletic Therapy and Training,DC204,558.0,,,,558.0,,578.0,8,Dublin City University,,,,DC
362,Education,Physical Education with Biology,DC205,565.0,,,,565.0,,578.0,8,Dublin City University,,,,DC
363,Education,Physical Education with Mathematics,DC206,521.0,,,,521.0,,544.0,8,Dublin City University,,,,DC
364,Social and behavioural sciences,Psychology and Mathematics,DC207,521.0,,,,521.0,,543.0,8,Dublin City University,,,,DC
365,Social and behavioural sciences,Psychology,DC208,565.0,,,,565.0,,577.0,8,Dublin City University,,,,DC
366,Health,Health and Society,DC209,477.0,,,,477.0,,509.0,8,Dublin City University,,,,DC
367,Social and behavioural sciences,Psychology and Disruptive Technologies,DC210,506.0,,,,506.0,,532.0,8,Dublin City University,,,,DC
368,Health,General Nursing,DC215,456.0,*,,,456.0,*,485.0,8,Dublin City University,,,,DC
369,Health,Mental Health Nursing,DC216,420.0,,,,420.0,,440.0,8,Dublin City University,,,,DC
370,Health,Intellectual Disability Nursing,DC217,382.0,,,,382.0,,402.0,8,Dublin City University,,,,DC
371,Health,Children`s and General Nursing (Integrated),DC218,521.0,*,,,521.0,*,554.0,8,Dublin City University,,,,DC
372,Social and behavioural sciences,"Economics, Politics and Law",DC230,431.0,,,,431.0,,468.0,8,Dublin City University,,,,DC
373,Social and behavioural sciences,International Relations,DC231,398.0,,,,399.0,,458.0,8,Dublin City University,,,,DC
374,Law,Law and Society (BCL),DC232,469.0,,,,469.0,,511.0,8,Dublin City University,,,,DC
375,Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,302.0,,,,302.0,,370.0,8,Dublin City University,,,,DC
376,Humanities (except languages),Social Sciences and Cultural Innovation,DC238,387.0,,,,387.0,,440.0,8,Dublin City University,,,,DC
377,Business and administration,"Marketing, Innovation and Technology",DC240,499.0,,,,499.0,,532.0,8,Dublin City University,,,,DC
378,Business and administration,Digital Business and Innovation,DC241,509.0,,,,509.0,,533.0,8,Dublin City University,,,,DC
379,Arts,Arts (Joint Honours) - Media Studies,DC291,350.0,,,,350.0,,440.0,8,Dublin City University,,,,DC
380,Arts,Arts (Joint Honours) - Law,DC292,400.0,,,,400.0,,440.0,8,Dublin City University,,,,DC
381,Arts,Arts (Joint Honours) - International Languages,DC293,379.0,,,,379.0,,467.0,8,Dublin City University,,,,DC
382,Environment,Climate and Environmental Sustainability,DC294,475.0,,,,475.0,,489.0,8,Dublin City University,,,,DC
383,Arts,Arts (Joint Honours) - Politics,DC295,349.0,,,,349.0,,409.0,8,Dublin City University,,,,DC
384,Business and administration,Business - Applied Entrepreneurship,DL701,162.0,,162.0,,189.0,,339.0,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,DL
385,Business and administration,Arts Management,DL822,254.0,,,,254.0,,356.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,DL
386,Business and administration,Business Management,DL823,220.0,,,,220.0,,318.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,DL
387,Social and behavioural sciences,Applied Psychology,DL825,418.0,,413.0,,413.0,,462.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,DL
388,Arts,Graphic Design,DL826,591.0,,,,591.0,,824.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
389,Arts,Art,DL827,574.0,,,,574.0,,906.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
390,Arts,Animation,DL832,989.0,,,,989.0,,1098.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
391,Arts,Photography and Visual Media,DL833,671.0,,671.0,,665.0,,877.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,,DL
392,Information and Communication Technologies (ICTs),Creative Computing,DL836,235.0,,,,235.0,,339.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,DL
393,Humanities (except languages),New Media Studies,DL837,298.0,,293.0,,293.0,,359.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,DL
394,Arts,Creative Music Production,DL838,713.0,,,,713.0,,979.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
395,Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,757.0,,,,757.0,,1087.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,,DL
396,Business and administration,Digital Marketing,DL840,210.0,,,,210.0,,347.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,DL
397,Arts,English and Equality Studies,DL841,277.0,,277.0,,277.0,,357.0,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,DL
398,Arts,Film,DL843,987.0,,874.0,,874.0,,1000.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
399,Arts,Television,DL844,566.0,,,,566.0,,947.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
400,Arts,Design for Film (degree options),DL845,628.0,,,,630.0,,900.0,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,DL
401,Business and administration,Business,GC200,269.0,,242.0,,242.0,,377.0,8,Griffith College,,avp,,GC
402,Business and administration,Accounting and Finance,GC201,260.0,,226.0,,226.0,,270.0,8,Griffith College,,avp,,GC
403,Information and Communication Technologies (ICTs),Computing Science,GC230,300.0,,289.0,,289.0,,351.0,8,Griffith College,,avp,,GC
404,Journalism and information,Communications and Media Production,GC250,,,,,,,,8,Griffith College,,,,GC
405,Business and administration,Business,GC300,264.0,,264.0,,264.0,,377.0,8,Griffith College,,avp,,GC
406,Business and administration,Accounting and Finance,GC301,,,251.0,,251.0,,251.0,8,Griffith College,,avp,,GC
407,Business and administration,Business - HRM,GC302,377.0,,377.0,,329.0,,377.0,8,Griffith College,,avp,,GC
408,Business and administration,Business (Marketing),GC307,289.0,,270.0,,270.0,,289.0,8,Griffith College,,avp,,GC
409,Information and Communication Technologies (ICTs),Computing,GC335,171.0,,171.0,,171.0,,278.0,7,Griffith College,,avp,,GC
410,Business and administration,Business,GC400,250.0,,228.0,,228.0,,318.0,8,Griffith College,,avp,,GC
411,Business and administration,Accounting and Finance,GC401,242.0,,242.0,,242.0,,337.0,8,Griffith College,,avp,,GC
412,Business and administration,Business (HRM),GC402,,,,,,,0.0,8,Griffith College,,,,GC
413,Law,Law,GC403,245.0,,242.0,,242.0,,319.0,8,Griffith College,,avp,,GC
414,Business and administration,Business (Marketing),GC407,264.0,,264.0,,176.0,,318.0,8,Griffith College,,avp,,GC
415,Business and administration,Marketing,GC410,122.0,,122.0,,122.0,,337.0,7,Griffith College,,avp,,GC
416,Business and administration,Business,GC411,180.0,,180.0,,180.0,,378.0,7,Griffith College,,avp,,GC
417,Information and Communication Technologies (ICTs),Computing Science,GC430,251.0,,251.0,,251.0,,325.0,8,Griffith College,,avp,,GC
418,Information and Communication Technologies (ICTs),Computing,GC435,108.0,,108.0,,108.0,,349.0,7,Griffith College,,avp,,GC
419,Journalism and information,Communications and Media Production,GC450,225.0,,225.0,,225.0,,321.0,8,Griffith College,,avp,,GC
420,Arts,Music Production for Games (portfolio),GC460,,,,,,,0.0,6,Griffith College,#,avp,,GC
421,Arts,Design Communication (portfolio),GC462,300.0,,,,300.0,,300.0,8,Griffith College,#,avp,,GC
422,Journalism and information,Communications,GC465,118.0,,118.0,,118.0,,395.0,7,Griffith College,,avp,,GC
423,Arts,Film and TV Production,GC466,121.0,,121.0,,121.0,,418.0,7,Griffith College,,avp,,GC
424,Arts,Photographic Media,GC470,163.0,,163.0,,163.0,,352.0,7,Griffith College,,avp,,GC
425,Arts,Photography,GC475,125.0,,125.0,,125.0,,343.0,6,Griffith College,,avp,,GC
426,Arts,Interior Architecture (portfolio),GC489,288.0,,274.0,,274.0,,429.0,8,Griffith College,#,avp,,GC
427,Arts,Interior Design,GC490,137.0,,137.0,,137.0,,359.0,7,Griffith College,,avp,,GC
428,Arts,Fashion Design (portfolio),GC494,351.0,,,,309.0,,588.0,8,Griffith College,#,avp,,GC
429,Arts,Fashion,GC495,110.0,,110.0,,110.0,,398.0,7,Griffith College,,avp,,GC
430,Business and administration,Business,BY001,210.0,,210.0,,210.0,,323.0,8,IBAT College Dublin,,avp,,BY
431,Business and administration,Business,BY002,347.0,,171.0,,171.0,,347.0,7,IBAT College Dublin,,avp,,BY
432,Business and administration,Accounting and Finance,ID001,,,,,,,0.0,8,ICD Business School,,avp,,ID
433,Business and administration,Business Studies,ID002,,,,,273.0,,340.0,8,ICD Business School,,avp,,ID
434,Arts,"First Year Art and Design (Common Entry,portfolio)",AD101,554.0,,,,554.0,,604.0,8,National College of Art and Design,#,,,AD
435,Arts,Graphic Design and Moving Image Design (portfolio),AD102,538.0,,,,538.0,,625.0,8,National College of Art and Design,#,,,AD
436,Arts,Textile and Surface Design and Jewellery and Objects (portfolio),AD103,505.0,,,,505.0,,581.0,8,National College of Art and Design,#,,,AD
437,Education,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD202,591.0,,,,591.0,,620.0,8,National College of Art and Design,#,,,AD
438,Arts,Fine Art (portfolio),AD204,514.0,,,,514.0,,583.0,8,National College of Art and Design,#,,,AD
439,Arts,Fashion Design (portfolio),AD211,760.0,,679.0,,679.0,,679.0,8,National College of Art and Design,#,,,AD
440,Arts,Product Design (portfolio),AD212,413.0,,,,413.0,,569.0,8,National College of Art and Design,#,,,AD
441,Arts,Visual Culture,AD215,337.0,,300.0,,300.0,,380.0,8,National College of Art and Design,,,,AD
442,Arts,Illustration (portfolio),AD217,738.0,,,,738.0,,,8,National College of Art and Design,#,,,AD
443,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,444.0,,,,444.0,,488.0,8,National College of Art and Design,#,,,AD
444,Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,271.0,,,,271.0,,334.0,8,National College of Ireland (NCI),,,,NC
445,Business and administration,Human Resource Management,NC005,301.0,,,,301.0,,360.0,8,National College of Ireland (NCI),,,,NC
446,Business and administration,Business,NC009,300.0,,,,300.0,,371.0,8,National College of Ireland (NCI),,,,NC
447,Social and behavioural sciences,Psychology,NC010,420.0,,,,420.0,,465.0,8,National College of Ireland (NCI),,,,NC
448,Business and administration,Marketing Practice,NC020,270.0,,,,270.0,,329.0,8,National College of Ireland (NCI),,,,NC
449,Business and administration,Accounting and Finance,NC022,330.0,,,,330.0,,390.0,8,National College of Ireland (NCI),,,,NC
450,Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,266.0,,,,266.0,,356.0,8,National College of Ireland (NCI),,,,NC
451,Education,Early Childhood Education and Care,NC030,251.0,,251.0,,251.0,,308.0,8,National College of Ireland (NCI),,avp,,NC
452,Information and Communication Technologies (ICTs),Computing,NC102,225.0,,,,225.0,,366.0,6,National College of Ireland (NCI),,,,NC
453,Business and administration,Business,NC103,252.0,,,,252.0,,372.0,6,National College of Ireland (NCI),,,,NC
454,Information and Communication Technologies (ICTs),Business Computing,NC104,242.0,,,,242.0,,390.0,6,National College of Ireland (NCI),,,,NC
455,Health,Medicine - Undergraduate Entry (HPAT required),RC001,741.0,,740.0,*,740.0,*,741.0,8,RCSI University of Medicine & Health Sciences,#,,,RC
456,Health,Physiotherapy,RC004,589.0,*,589.0,*,589.0,*,589.0,8,RCSI University of Medicine & Health Sciences,,,,RC
457,Health,Pharmacy,RC005,613.0,*,613.0,,602.0,*,613.0,8,RCSI University of Medicine & Health Sciences,,,,RC
458,Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,62.0,*,66.0,8,RCSI University of Medicine & Health Sciences,#,,,RC
459,Education,Montessori Education,NM701,137.0,,137.0,,137.0,,387.0,7,St Nicholas Montessori College Ireland,,avp,,NM
460,Education,Montessori Education,NM801,262.0,,,,262.0,,320.0,8,St Nicholas Montessori College Ireland,,avp,,NM
461,Social and behavioural sciences,Psychology,NM802,228.0,,,,228.0,,338.0,8,St Nicholas Montessori College Ireland,,avp,,NM
462,Engineering and engineering trades,Electronic and Information Engineering,TU605,190.0,,,,190.0,,339.0,6,Technological University Dublin,,,,TU
463,Engineering and engineering trades,Mechanical Engineering (General Entry),TU606,192.0,,,,192.0,,359.0,6,Technological University Dublin,,,,TU
464,Personal services,Bar and Restaurant Management,TU641,243.0,,,,243.0,,366.0,6,Technological University Dublin,,,,TU
465,Personal services,Culinary Arts (Cuisine and Wellness),TU642,154.0,,,,,,330.0,6,Technological University Dublin,,avp,,TU
466,Personal services,Culinary Arts (Professional Cookery Practice),TU643,242.0,,,,242.0,,418.0,6,Technological University Dublin,,,,TU
467,Personal services,Food Management and Entrepreneurship,TU644,250.0,,,,250.0,,451.0,6,Technological University Dublin,,,,TU
468,Manufacturing and processing,Food Science and Management,TU645,251.0,,,,251.0,,473.0,6,Technological University Dublin,,,,TU
469,Biological and related sciences,Applied Biology,TU651,361.0,,,,361.0,,474.0,6,Technological University Dublin,,,,TU
470,Information and Communication Technologies (ICTs),Computing,TU652,240.0,,,,240.0,,391.0,6,Technological University Dublin,,,,TU
471,Health,Pharmacy Technician Studies,TU654,350.0,,,,338.0,,452.0,6,Technological University Dublin,,,,TU
472,Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,502.0,,,,502.0,,551.0,6,Technological University Dublin,#,avp,,TU
473,Business and administration,Business (campus options),TU670,224.0,,,,224.0,,378.0,6,Technological University Dublin,,,,TU
474,Business and administration,Business Management,TU673,301.0,,,,301.0,,495.0,6,Technological University Dublin,,,,TU
475,Business and administration,Business Studies,TU674,307.0,,,,307.0,,484.0,6,Technological University Dublin,,,,TU
476,Business and administration,Marketing,TU675,301.0,,,,301.0,,431.0,6,Technological University Dublin,,,,TU
477,Business and administration,Retail Management and Marketing,TU676,290.0,,,,290.0,,386.0,6,Technological University Dublin,,,,TU
478,Engineering and engineering trades,Automation Engineering,TU701,243.0,,,,243.0,,346.0,7,Technological University Dublin,,,,TU
479,Environment,Sustainable Energy and Environmental Engineering,TU702,249.0,,,,249.0,,444.0,7,Technological University Dublin,,,,TU
480,Engineering and engineering trades,Building Engineering,TU703,273.0,,,,273.0,,381.0,7,Technological University Dublin,,,,TU
481,Architecture and construction,Civil Engineering,TU704,260.0,,,,260.0,,378.0,7,Technological University Dublin,,,,TU
482,Engineering and engineering trades,Electrical and Control Engineering,TU705,272.0,,,,272.0,,399.0,7,Technological University Dublin,,,,TU
483,Engineering and engineering trades,Electrical Services Engineering,TU706,245.0,,,,245.0,,327.0,7,Technological University Dublin,,,,TU
484,Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,,,263.0,,263.0,,384.0,7,Technological University Dublin,,avp,v,TU
485,Engineering and engineering trades,Engineering (General Entry),TU709,400.0,,,,400.0,,531.0,7,Technological University Dublin,,,,TU
486,Engineering and engineering trades,Mechatronic Engineering,TU711,225.0,,,,225.0,,373.0,7,Technological University Dublin,,,,TU
487,Engineering and engineering trades,Computer Engineering,TU713,222.0,,,,222.0,,400.0,7,Technological University Dublin,,,,TU
488,Engineering and engineering trades,Electronics and Communications Engineering,TU714,262.0,,,,262.0,,420.0,7,Technological University Dublin,,,,TU
489,Engineering and engineering trades,Networking Technology,TU716,249.0,,,,249.0,,367.0,7,Technological University Dublin,,,,TU
490,Engineering and engineering trades,Mechanical Engineering,TU717,301.0,,,,301.0,,399.0,7,Technological University Dublin,,,,TU
491,Manufacturing and processing,"Design,Technology and Innovation",TU719,261.0,,,,261.0,,391.0,7,Technological University Dublin,,,,TU
492,Engineering and engineering trades,Automotive Management and Technology,TU720,232.0,,,,232.0,,339.0,7,Technological University Dublin,,,,TU
493,Engineering and engineering trades,Aviation Technology,TU721,302.0,,,,302.0,,423.0,7,Technological University Dublin,,,,TU
494,Manufacturing and processing,Process Instrumentation and Automation Learn and Work (Test&Interview),TU722,346.0,,346.0,,346.0,,548.0,7,Technological University Dublin,#,avp,,TU
495,Engineering and engineering trades,Mechanical Engineering (General Entry),TU725,222.0,,,,222.0,,398.0,7,Technological University Dublin,,,,TU
496,Engineering and engineering trades,Electronic Engineering (General Entry),TU726,215.0,,,,215.0,,349.0,7,Technological University Dublin,,,,TU
497,Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,330.0,,,,330.0,,419.0,7,Technological University Dublin,,,,TU
498,Personal services,Sports Management and Coaching,TU735,270.0,,,,270.0,,377.0,7,Technological University Dublin,,,,TU
499,Biological and related sciences,Sports Science and Health,TU736,484.0,,,,484.0,,532.0,7,Technological University Dublin,,,,TU
500,Personal services,Sports Studies,TU737,250.0,,,,250.0,,378.0,7,Technological University Dublin,,,,TU
501,Personal services,Baking and Pastry Arts Management,TU741,231.0,,,,231.0,,456.0,7,Technological University Dublin,,,,TU
502,Personal services,Culinary Arts,TU742,158.0,,,,158.0,,328.0,7,Technological University Dublin,,,,TU
503,Personal services,Hospitality Management,TU745,252.0,,,,252.0,,368.0,7,Technological University Dublin,,,,TU
504,Personal services,International Hospitality and Tourism Management,TU746,157.0,,144.0,,144.0,,347.0,7,Technological University Dublin,,,,TU
505,Personal services,Tourism Management,TU747,263.0,,,,263.0,,367.0,7,Technological University Dublin,,,,TU
506,Biological and related sciences,Biosciences,TU751,418.0,,,,418.0,,532.0,7,Technological University Dublin,,,,TU
507,Biological and related sciences,DNA and Forensic Analysis,TU752,500.0,,442.0,,442.0,,500.0,7,Technological University Dublin,,,,TU
508,Physical sciences,Industrial and Environmental Physics,TU754,273.0,,,,273.0,,476.0,7,Technological University Dublin,,,,TU
509,Physical sciences,Science (General Entry),TU755,361.0,,,,361.0,,523.0,7,Technological University Dublin,,,,TU
510,Information and Communication Technologies (ICTs),Computing,TU756,201.0,,,,201.0,,388.0,7,Technological University Dublin,,,,TU
511,Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,227.0,,,,227.0,,388.0,7,Technological University Dublin,,,,TU
512,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,223.0,,,,223.0,,356.0,7,Technological University Dublin,,,,TU
513,Biological and related sciences,Bioanalysis,TU760,360.0,,,,360.0,,426.0,7,Technological University Dublin,,,,TU
514,Health,Ophthalmic Dispensing,TU761,316.0,,,,316.0,,462.0,7,Technological University Dublin,,,,TU
515,Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,320.0,,,,320.0,,520.0,7,Technological University Dublin,,,,TU
516,Biological and related sciences,Pharmaceutical Science,TU763,391.0,,,,391.0,,473.0,7,Technological University Dublin,,,,TU
517,Business and administration,Business (options),TU772,,,250.0,,,,408.0,7,Technological University Dublin,,avp,v,TU
518,Business and administration,Advertising and Marketing Communications,TU780,201.0,,190.0,,190.0,,371.0,7,Technological University Dublin,,,,TU
519,Business and administration,Digital Marketing,TU781,223.0,,,,223.0,,339.0,7,Technological University Dublin,,,,TU
520,Business and administration,Digital Marketing,TU782,200.0,,185.0,,185.0,,340.0,7,Technological University Dublin,,,,TU
521,Business and administration,Business (options),TU787,200.0,,180.0,,180.0,,429.0,7,Technological University Dublin,,,,TU
522,Business and administration,Accounting and Finance (campus options),TU788,231.0,,,,231.0,,462.0,7,Technological University Dublin,,,,TU
523,Education,Early Childhood Care and Education (campus options),TU790,223.0,,,,223.0,,414.0,7,Technological University Dublin,,,,TU
524,Welfare,Applied Social Studies in Social Care,TU791,320.0,,,,320.0,,399.0,7,Technological University Dublin,,,,TU
525,Social and behavioural sciences,Community and Youth Development,TU792,,,242.0,,,,310.0,7,Technological University Dublin,,avp,v,TU
526,Arts,Visual Merchandising and Display,TU795,618.0,,,,618.0,,900.0,7,Technological University Dublin,#,,,TU
527,Arts,Creative Digital Media,TU796,224.0,,,,224.0,,388.0,7,Technological University Dublin,,,,TU
528,Environment,Sustainable Energy Engineering,TU801,235.0,,,,235.0,,329.0,8,Technological University Dublin,,,,TU
529,Engineering and engineering trades,Electrical Services and Energy Management,TU802,309.0,,,,290.0,,359.0,8,Technological University Dublin,,,,TU
530,Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,270.0,,,,270.0,,361.0,8,Technological University Dublin,,,,TU
531,Engineering and engineering trades,Engineering (General Entry),TU805,466.0,,465.0,,465.0,,499.0,8,Technological University Dublin,,,,TU
532,Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,274.0,,,,274.0,,339.0,8,Technological University Dublin,,,,TU
533,Engineering and engineering trades,Mechatronic Engineering,TU810,271.0,,,,271.0,,399.0,8,Technological University Dublin,,,,TU
534,Arts,Product Design,TU811,440.0,,434.0,,434.0,,479.0,8,Technological University Dublin,,,,TU
535,Manufacturing and processing,"Design,Technology and Innovation",TU812,278.0,,,,278.0,,335.0,8,Technological University Dublin,,,,TU
536,Transport services,Sustainable Transport Management,TU814,253.0,,253.0,,253.0,,349.0,8,Technological University Dublin,,avp,,TU
537,Engineering and engineering trades,Mechanical Engineering (General Entry),TU828,300.0,,,,300.0,,386.0,8,Technological University Dublin,,,,TU
538,Engineering and engineering trades,Electronic Engineering (General Entry),TU829,248.0,,248.0,,243.0,,354.0,8,Technological University Dublin,,avp,,TU
539,Architecture and construction,Architectural Technology,TU831,423.0,,,,423.0,,455.0,8,Technological University Dublin,,,,TU
540,Architecture and construction,Architecture (Suitability Test and Interview),TU832,644.0,,638.0,,638.0,,682.0,8,Technological University Dublin,#,,,TU
541,Architecture and construction,Construction Management,TU833,396.0,,,,396.0,,429.0,8,Technological University Dublin,,,,TU
542,Architecture and construction,Geographic Science,TU834,315.0,,,,315.0,,370.0,8,Technological University Dublin,,,,TU
543,Architecture and construction,Planning and Environmental Management,TU835,330.0,,,,330.0,,393.0,8,Technological University Dublin,,,,TU
544,Architecture and construction,Property Economics (Valuation Surveying),TU836,411.0,,,,411.0,,444.0,8,Technological University Dublin,,,,TU
545,Architecture and construction,Quantity Surveying and Construction Economics,TU837,413.0,,,,413.0,,455.0,8,Technological University Dublin,,,,TU
546,Environment,Sustainable Timber Technology,TU838,307.0,,271.0,,271.0,,385.0,8,Technological University Dublin,,avp,,TU
547,Environment,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",TU851,400.0,,,,400.0,,464.0,8,Technological University Dublin,,,,TU
548,Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,477.0,,,,477.0,,499.0,8,Technological University Dublin,,,,TU
549,Biological and related sciences,Science (General Entry),TU854,510.0,,,,510.0,,532.0,8,Technological University Dublin,,,,TU
550,Physical sciences,Science with Nanotechnology,TU855,322.0,,,,322.0,,382.0,8,Technological University Dublin,,,,TU
551,Information and Communication Technologies (ICTs),Computer Science,TU856,499.0,,,,499.0,,531.0,8,Technological University Dublin,,,,TU
552,Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,403.0,,,,403.0,,443.0,8,Technological University Dublin,,,,TU
553,Information and Communication Technologies (ICTs),Computer Science (International),TU858,395.0,,,,395.0,,444.0,8,Technological University Dublin,,,,TU
554,Information and Communication Technologies (ICTs),Computing,TU859,251.0,,,,251.0,,336.0,8,Technological University Dublin,,,,TU
555,Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,270.0,,,,270.0,,356.0,8,Technological University Dublin,,,,TU
556,Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,235.0,,235.0,,235.0,,370.0,8,Technological University Dublin,,avp,,TU
557,Information and Communication Technologies (ICTs),Computing with Artificial Intelligence Machine Learning,TU862,262.0,,,,262.0,,310.0,8,Technological University Dublin,,,,TU
558,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,282.0,,,,282.0,,346.0,8,Technological University Dublin,,,,TU
559,Biological and related sciences,DNA and Forensic Analysis,TU864,500.0,,441.0,,441.0,,465.0,8,Technological University Dublin,,,,TU
560,Information and Communication Technologies (ICTs),Cloud Computing,TU865,235.0,,,,235.0,,308.0,8,Technological University Dublin,,,,TU
561,Health,Biomedical and Molecular Diagnostics,TU866,522.0,,,,522.0,,540.0,8,Technological University Dublin,,,,TU
562,Health,Biomedical Science,TU867,576.0,,566.0,*,565.0,,578.0,8,Technological University Dublin,,,,TU
563,Health,Clinical Measurement Science,TU868,542.0,,,,542.0,,554.0,8,Technological University Dublin,,,,TU
564,Hygiene and occupational health services,Environmental Health,TU869,387.0,,,,387.0,,434.0,8,Technological University Dublin,,,,TU
565,Health,Human Nutrition and Dietetics,TU870,601.0,*,,,600.0,,613.0,8,Technological University Dublin,,,,TU
566,Health,Optometry,TU871,532.0,,,,532.0,,544.0,8,Technological University Dublin,,,,TU
567,Biological and related sciences,Public Health Nutrition,TU872,487.0,,,,487.0,,521.0,8,Technological University Dublin,,,,TU
568,Mathematics and statistics,Mathematical Sciences,TU874,294.0,,294.0,,294.0,,434.0,8,Technological University Dublin,,avp,,TU
569,Biological and related sciences,Pharmaceutical Healthcare,TU875,451.0,,,,451.0,,477.0,8,Technological University Dublin,,,,TU
570,Biological and related sciences,Pharmaceutical Science,TU876,445.0,,,,445.0,,474.0,8,Technological University Dublin,,,,TU
571,Physical sciences,Physics Technology,TU877,314.0,,314.0,,314.0,,422.0,8,Technological University Dublin,,avp,,TU
572,Physical sciences,Physics with Energy and Environment,TU878,339.0,,,,339.0,,408.0,8,Technological University Dublin,,,,TU
573,Health,Physics with Medical Physics and Bioengineering,TU879,346.0,,,,346.0,,430.0,8,Technological University Dublin,,,,TU
574,Physical sciences,Physics with Data Science,TU880,412.0,,,,412.0,,532.0,8,Technological University Dublin,,,,TU
575,Manufacturing and processing,Food Innovation,TU881,309.0,,,,309.0,,423.0,8,Technological University Dublin,,,,TU
576,Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,380.0,,,,380.0,,447.0,8,Technological University Dublin,,,,TU
577,Business and administration,Business (options),TU902,270.0,,,,270.0,,327.0,8,Technological University Dublin,,,,TU
578,Business and administration,Business and Management,TU903,477.0,,,,477.0,,509.0,8,Technological University Dublin,,,,TU
579,Business and administration,Business and Law,TU904,462.0,,,,462.0,,486.0,8,Technological University Dublin,,,,TU
580,Social and behavioural sciences,Economics and Finance,TU905,460.0,,,,460.0,,488.0,8,Technological University Dublin,,,,TU
581,Business and administration,Human Resource Management,TU906,386.0,,377.0,,377.0,,412.0,8,Technological University Dublin,,,,TU
582,Business and administration,Logistics and Supply Chain Management,TU907,300.0,,,,300.0,,367.0,8,Technological University Dublin,,,,TU
583,Business and administration,Accounting,TU910,420.0,,,,420.0,,462.0,8,Technological University Dublin,,,,TU
584,Information and Communication Technologies (ICTs),Business Analytics,TU912,331.0,,311.0,,311.0,,367.0,8,Technological University Dublin,,,,TU
585,Information and Communication Technologies (ICTs),Business Computing,TU914,322.0,,,,322.0,,377.0,8,Technological University Dublin,,,,TU
586,Law,Law (LLB ) with a Language,TU917,356.0,,,,356.0,,451.0,8,Technological University Dublin,,,,TU
587,Law,Law (LLB),TU918,463.0,,,,463.0,,499.0,8,Technological University Dublin,,,,TU
588,Business and administration,Advertising and Marketing Communications,TU919,219.0,,,,219.0,,327.0,8,Technological University Dublin,,,,TU
589,Business and administration,Digital Marketing,TU920,270.0,,,,270.0,,339.0,8,Technological University Dublin,,,,TU
590,Business and administration,Digital Marketing Technologies,TU921,230.0,,,,230.0,,298.0,8,Technological University Dublin,,,,TU
591,Business and administration,Marketing,TU922,412.0,,,,412.0,,446.0,8,Technological University Dublin,,,,TU
592,Business and administration,E-Commerce in Retailing,TU924,307.0,,,,307.0,,380.0,8,Technological University Dublin,,,,TU
593,Business and administration,Retail and Services Management,TU925,307.0,,,,307.0,,368.0,8,Technological University Dublin,,,,TU
594,Business and administration,Business (options),TU932,211.0,,,,211.0,,337.0,8,Technological University Dublin,,,,TU
