,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
50,Business and administration,Accounting,AL852,336.0,,,,336.0,,466.0,8,Athlone Institute of Technology,,,,AL
51,Personal services,Sport Management (with international placement),AL854,300.0,,299.0,,299.0,,349.0,8,Athlone Institute of Technology,,,,AL
52,Personal services,Hospitality Management (with international placement),AL855,309.0,,,,309.0,,378.0,8,Athlone Institute of Technology,,,,AL
53,Business and administration,Digital Marketing,AL857,304.0,,,,304.0,,398.0,8,Athlone Institute of Technology,,,,AL
54,Business and administration,International Business,AL859,308.0,,,,308.0,,371.0,8,Athlone Institute of Technology,,,,AL
55,Welfare,Social Care Practice,AL860,301.0,,,,301.0,,359.0,8,Athlone Institute of Technology,,,,AL
56,Arts,Animation and Illustration (portfolio),AL861,575.0,,,,575.0,,760.0,8,Athlone Institute of Technology,#,,,AL
57,Arts,Graphic and Digital Design (portfolio),AL863,747.0,,,,747.0,,808.0,8,Athlone Institute of Technology,#,,,AL
58,Welfare,Early Years Care and Education,AL864,306.0,,,,306.0,,366.0,8,Athlone Institute of Technology,,,,AL
59,Social and behavioural sciences,Applied Psychology,AL870,484.0,*,467.0,*,452.0,,480.0,8,Athlone Institute of Technology,,,,AL
60,Business and administration,Business,CW006,171.0,,157.0,,157.0,,281.0,6,"Institute of Technology, Carlow",,avp,,CW
61,Business and administration,Business (options),CW018,307.0,,,,307.0,,381.0,8,"Institute of Technology, Carlow",,,,CW
62,Agriculture,Sustainable Farm Management and Agribusiness,CW027,236.0,,222.0,,222.0,,342.0,7,"Institute of Technology, Carlow",,,,CW
63,Welfare,Early Childhood Education and Care,CW028,260.0,,,,260.0,,378.0,8,"Institute of Technology, Carlow",,,,CW
64,Business and administration,Business (options),CW037,279.0,,,,279.0,,429.0,7,"Institute of Technology, Carlow",,,,CW
