,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
51,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
52,Health,General Nursing,AL830,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
53,Health,Psychiatric Nursing,AL832,,*,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
54,Health,Nutrition and Health Science,AL836,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
55,Personal services,Sports Science with Exercise Physiology,AL837,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
56,Biological and related sciences,Biotechnology,AL838,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
57,Biological and related sciences,Microbiology,AL839,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
58,Physical sciences,Pharmaceutical Sciences,AL840,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
59,Health,Athletic and Rehabilitation Therapy,AL841,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
60,Biological and related sciences,Bioveterinary Science,AL842,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
61,Health,Physical Activity and Health Science,AL843,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
62,Business and administration,Business,AL850,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
63,Law,Business and Law,AL851,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
64,Business and administration,Accounting,AL852,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
65,Personal services,Sport Management (with international placement),AL854,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
66,Personal services,Hospitality Management (with international placement),AL855,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
67,Business and administration,Digital Marketing,AL857,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
68,Welfare,Social Care Practice,AL860,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
69,Arts,Animation and Illustration (portfolio),AL861,,,,,,,,8,Athlone Institute of Technology,#,,,,,,,,,,
70,Arts,Graphic and Digital Design (portfolio),AL863,,,,,,,,8,Athlone Institute of Technology,#,,,,,,,,,,
71,Welfare,Early Years Care and Education,AL864,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
72,Social and behavioural sciences,Applied Psychology,AL870,,,,,,,,8,Athlone Institute of Technology,,,,,,,,,,,
73,Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,,,,,,,,8,St. Angela`s College,,,,,,,,,,,
74,Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,,*,,*,,*,,8,St. Angela`s College,,,,,,,,,,,
75,Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,,*,,,,,,8,St. Angela`s College,,,,,,,,,,,
76,Business and administration,"Nutrition, Food and Business Management",AS051,,,,,,,,8,St. Angela`s College,,,,,,,,,,,
77,Biological and related sciences,Home Economics,AS054,,,,,,,,8,St. Angela`s College,,,,,,,,,,,
78,Health,General Nursing,AS110,,*,,,,*,,8,St. Angela`s College,,,,,,,,,,,
79,Health,Intellectual Disability Nursing,AS130,,*,,,,,,8,St. Angela`s College,,,,,,,,,,,
80,Welfare,Counselling Skills and Psychotherapy Studies,CI001,,,,,,,,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
81,Welfare,Counselling Skills and Addiction Studies,CI002,,,,,,,,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
82,Welfare,Counselling Skills and Youth Studies,CI005,,,,,,,,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
83,Welfare,Counselling and Psychotherapy,CI110,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
84,Welfare,Counselling and Addiction Studies,CI111,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
85,Welfare,Counselling and Youth Studies,CI112,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
86,Arts,Arts - 3 years,CK101,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
87,Social and behavioural sciences,Social Science,CK102,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
88,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,
89,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
90,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
91,Languages,Arts International - 4 years,CK108,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
92,Languages,English - 3 years or 4 years (International Pathway),CK109,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
93,Languages,World Languages,CK110,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
94,Welfare,Early Years and Childhood Studies,CK111,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
95,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,
96,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
97,Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,
98,Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
99,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
100,Social and behavioural sciences,Applied Psychology,CK120,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,
101,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
102,Social and behavioural sciences,Government and Political Science,CK122,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
103,Humanities (except languages),Anthropology,CK123,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
104,Education,Education - Gaeilge,CK124,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
105,Education,Sports Studies and Physical Education,CK125,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,
106,Business and administration,Commerce,CK201,,*,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
107,Business and administration,Accounting,CK202,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
108,Information and Communication Technologies (ICTs),Business Information Systems,CK203,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
109,Business and administration,Finance,CK204,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
110,Business and administration,Commerce (International) with French,CK205,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
111,Business and administration,Commerce (International) with German,CK206,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
112,Business and administration,Commerce (International) with Italian,CK207,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
113,Business and administration,Commerce (International) with Hispanic Studies,CK208,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
114,Business and administration,Commerce (International) with Irish,CK209,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
115,Business and administration,Commerce (International) with Chinese Studies,CK211,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
116,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
117,Business and administration,Food Marketing and Entrepreneurship,CK213,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
118,Social and behavioural sciences,International Development,CK214,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
119,Law,Law (Pathways) -  3 or 4 years,CK301,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
120,Law,Law and French,CK302,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
121,Law,Law and Irish,CK304,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
122,Law,Law and Business,CK307,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
123,Information and Communication Technologies (ICTs),Computer Science,CK401,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
124,Biological and related sciences,Biological and Chemical Sciences,CK402,,*,,*,,,,8,University College Cork (NUI),,,,,,,,,,,
125,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
126,Biological and related sciences,Genetics,CK405,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
127,Physical sciences,Chemical Sciences,CK406,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
128,Mathematics and statistics,Mathematical Sciences,CK407,,,,*,,,,8,University College Cork (NUI),,,,,,,,,,,
129,Physical sciences,Physics and Astrophysics,CK408,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
