,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
235,Information and Communication Technologies (ICTs),Information Technology,CT125,,,,,,,,8,CCT College Dublin,,avp,,,,,,,,,
236,Business and administration,Business,CT325,,,,,,,,8,CCT College Dublin,,avp,,,,,,,,,
237,Business and administration,Business,CW006,,,,,,,,6,"Institute of Technology, Carlow",,avp,,,,,,,,,
238,Business and administration,Business (options),CW018,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
239,Agriculture,Sustainable Farm Management and Agribusiness,CW027,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
240,Welfare,Early Childhood Education and Care,CW028,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
241,Business and administration,Business (options),CW037,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
242,Arts,Art (portfolio),CW038,,,,,,,,8,"Institute of Technology, Carlow",#,,,,,,,,,,
243,Arts,Visual Communications and Design,CW047,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
244,Arts,Art (portfolio),CW057,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
245,Personal services,Tourism and Event Management,CW058,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
246,Welfare,Applied Social Studies in Professional Social Care,CW068,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
247,Personal services,Tourism and Event Management,CW077,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
248,Agriculture,Sustainable Farm Management and Agribusiness,CW078,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
249,Arts,Visual Communications and Design,CW088,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
250,Health,Physiology and Health Science,CW106,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
251,Environment,Analytical Science,CW107,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
252,Biological and related sciences,Science (options),CW108,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
253,Health,Pharmacy Technician Studies,CW116,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
254,Environment,Biosciences,CW117,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
255,Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
256,Biological and related sciences,Brewing and Distilling,CW128,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
257,Personal services,Sport and Exercise Science,CW138,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
258,Personal services,Strength and Conditioning,CW148,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
259,Health,Sport Rehabilitation and Athletic Therapy,CW188,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
260,Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
261,Information and Communication Technologies (ICTs),Software Development,CW207,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
262,Information and Communication Technologies (ICTs),Computer Games Development,CW208,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
263,Information and Communication Technologies (ICTs),Information Technology Management,CW217,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
264,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
265,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
266,Information and Communication Technologies (ICTs),Software Development,CW238,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
267,Information and Communication Technologies (ICTs),Information Technology Management,CW248,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
268,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
269,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
270,Architecture and construction,Architectural Technology,CW407,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
271,Architecture and construction,Construction Management with Building Services,CW417,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
272,Architecture and construction,Civil Engineering,CW427,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
273,Architecture and construction,Construction (options),CW438,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
274,Architecture and construction,Architectural Technology,CW468,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
275,Architecture and construction,Civil Engineering,CW478,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
276,Engineering and engineering trades,Aircraft Systems,CW507,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
277,Engineering and engineering trades,Mechanical Engineering,CW517,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
278,Engineering and engineering trades,Electronic Engineering,CW527,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
279,Arts,TV and Media Production,CW547,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
280,Engineering and engineering trades,Mechanical Engineering,CW548,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
281,Engineering and engineering trades,Electronic Systems,CW558,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
282,Engineering and engineering trades,Aerospace Engineering,CW568,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
283,Arts,TV and Media Production,CW578,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
284,Law,Legal Studies,CW706,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
285,Arts,Industrial Design,CW707,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
286,Law,Law - LLB,CW708,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
287,Welfare,Professional Social Care Practice,CW717,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
288,Arts,Product Design Innovation,CW728,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
289,Welfare,Early Childhood Education and Care,CW748,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
290,Welfare,Professional Social Care Practice,CW758,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
291,Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
292,Business and administration,Media and Public Relations,CW808,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
293,Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
294,Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,,,,,,,,7,"Institute of Technology, Carlow",#,,,,,,,,,,
295,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,CW837,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
296,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,CW848,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
297,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,,,,,,,,8,"Institute of Technology, Carlow",#,,,,,,,,,,
298,Business and administration,Business,CW906,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
299,Business and administration,Business (options),CW908,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
300,Business and administration,Business (options),CW917,,,,,,,,7,"Institute of Technology, Carlow",,,,,,,,,,,
301,Business and administration,Business with Law,CW926,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
302,Business and administration,Accounting,CW936,,,,,,,,6,"Institute of Technology, Carlow",,,,,,,,,,,
303,Business and administration,Business with Law,CW938,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
304,Business and administration,Accounting,CW948,,,,,,,,8,"Institute of Technology, Carlow",,,,,,,,,,,
305,Information and Communication Technologies (ICTs),Computing,DB500,,,218.0,,,,,8,Dublin Business School,,avp,,,,,,,,,
306,Information and Communication Technologies (ICTs),Computing (Cloud Computing),DB501,,,227.0,,,,,8,Dublin Business School,,avp,,,,,,,,,
307,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),DB502,,,341.0,,,,,8,Dublin Business School,,avp,,,,,,,,,
308,Information and Communication Technologies (ICTs),Computing (Software Development),DB503,,,225.0,,,,,8,Dublin Business School,,avp,,,,,,,,,
309,Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),DB504,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
310,Arts,Audio Production and Music Project Management,DB510,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
311,Business and administration,Business Studies,DB512,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
312,Business and administration,Business Studies (Law),DB514,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
313,Business and administration,Business Studies (Human Resource Management),DB515,,,244.0,,,,,8,Dublin Business School,,avp,,,,,,,,,
314,Business and administration,Financial Services,DB516,,,,,,,,8,Dublin Business School,,,,,,,,,,,
315,Business and administration,Marketing (Event Management),DB517,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
316,Business and administration,Accounting and Finance,DB521,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
317,Information and Communication Technologies (ICTs),Business (Information Systems),DB524,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
318,Information and Communication Technologies (ICTs),Business (Cloud Computing),DB526,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
319,Social and behavioural sciences,Applied Social Care,DB527,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
320,Social and behavioural sciences,Applied Social Care,DB528,,,,,,,,7,Dublin Business School,,avp,,,,,,,,,
321,Business and administration,Marketing,DB531,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
322,Arts,Sound Engineering and Music Production,DB534,,,,,,,,6,Dublin Business School,,avp,,,,,,,,,
323,Social and behavioural sciences,Psychology,DB562,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
324,Arts,Arts,DB563,,,,,,,,6,Dublin Business School,,avp,,,,,,,,,
325,Social and behavioural sciences,Social Science,DB566,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
326,Arts,Film and Creative Media,DB567,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
327,Law,Law,DB568,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
328,Business and administration,Business (Psychology),DB569,,,,,,,,8,Dublin Business School,,avp,,,,,,,,,
329,Business and administration,Business Studies,DB571,,,,,,,,7,Dublin Business School,,avp,,,,,,,,,
330,Business and administration,Business in Accounting,DB572,,,,,,,,7,Dublin Business School,,avp,,,,,,,,,
331,Business and administration,Business in Marketing,DB573,,,,,,,,7,Dublin Business School,,avp,,,,,,,,,
332,Information and Communication Technologies (ICTs),Business in Information Technology,DB574,,,,,,,,7,Dublin Business School,,avp,,,,,,,,,
333,Arts,Film and Creative Media,DB576,,,,,,,,7,Dublin Business School,,avp,,,,,,,,,
334,Education,Education - Early Childhood Education,DC001,,,,,,,,8,Dublin City University,,,,,,,,,,,
335,Education,Education - Primary Teaching,DC002,,,,,,,,8,Dublin City University,,,,,,,,,,,
336,Education,Education - Primary Teaching - Gaeltacht Applicants,DC003,,,,,,,,8,Dublin City University,#,,,,,,,,,,
337,Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,,,,,,,,8,Dublin City University,#,,,,,,,,,,
338,Arts,Arts (Joint Honours) - Humanities,DC009,,,,,,,,8,Dublin City University,,,,,,,,,,,
339,Education,Post Primary Teacher Education - Religious Education and English,DC010,,,,,,,,8,Dublin City University,,,,,,,,,,,
340,Education,Post Primary Teacher Education - Religious Education and History,DC011,,,,,,,,8,Dublin City University,,,,,,,,,,,
341,Education,Post Primary Teacher Education - Religious Education and Music,DC012,,,,,,,,8,Dublin City University,#,,,,,,,,,,
342,Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,,,,,,,,8,Dublin City University,,,,,,,,,,,
343,Arts,BA in Jazz and Contemporary Music Performance (audition),DC014,,,,,,,,8,Dublin City University,#,,,,,,,,,,
344,Languages,Business Studies International,DC110,,,,,,,,8,Dublin City University,,,,,,,,,,,
345,Business and administration,Business Studies,DC111,,,,,,,,8,Dublin City University,,,,,,,,,,,
346,Business and administration,Global Business (France),DC112,,,,,,,,8,Dublin City University,,,,,,,,,,,
347,Business and administration,Global Business (Germany),DC113,,,,,,,,8,Dublin City University,,,,,,,,,,,
348,Business and administration,Global Business (Spain),DC114,,,,,,,,8,Dublin City University,,,,,,,,,,,
349,Business and administration,Accounting and Finance,DC115,,,,,,,,8,Dublin City University,,,,,,,,,,,
350,Business and administration,Global Business (USA),DC116,,,,,,,,8,Dublin City University,,,,,,,,,,,
351,Engineering and engineering trades,Aviation Management / Aviation Management with Pilot Studies,DC117,,,,,,,,8,Dublin City University,,,,,,,,,,,
352,Business and administration,Gnó agus Gaeilge / Business and Irish,DC118,,,,,,,,8,Dublin City University,,,,,,,,,,,
353,Business and administration,Global Business (Canada),DC119,,,,,,,,8,Dublin City University,,,,,,,,,,,
354,Information and Communication Technologies (ICTs),Enterprise Computing,DC120,,,,,,,,8,Dublin City University,,,,,,,,,,,
355,Information and Communication Technologies (ICTs),Computer Applications,DC121,,,,,,,,8,Dublin City University,,,,,,,,,,,
356,Information and Communication Technologies (ICTs),Data Science,DC123,,,,,,,,8,Dublin City University,,,,,,,,,,,
357,Mathematics and statistics,Actuarial Mathematics,DC126,,,,,,,,8,Dublin City University,,,,,,,,,,,
358,Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,,,,,,,,8,Dublin City University,,,,,,,,,,,
359,Humanities (except languages),Communication Studies,DC131,,,,,,,,8,Dublin City University,,,,,,,,,,,
360,Journalism and information,Journalism,DC132,,,,,,,,8,Dublin City University,,,,,,,,,,,
361,Arts,Multimedia,DC133,,,,,,,,8,Dublin City University,,,,,,,,,,,
362,Languages,Applied Language and Translation Studies,DC155,,,,,,,,8,Dublin City University,,,,,,,,,,,
363,Physical sciences,Analytical Science,DC161,,*,,,,,,8,Dublin City University,,,,,,,,,,,
364,Physical sciences,Chemical and Pharmaceutical Sciences,DC162,,,,,,,,8,Dublin City University,,,,,,,,,,,
365,Environment,Environmental Science and Technology,DC166,,,,,,,,8,Dublin City University,,,,,,,,,,,
366,Biological and related sciences,Genetics and Cell Biology,DC168,,*,,,,,,8,Dublin City University,,,,,,,,,,,
367,Physical sciences,Physics General Entry (options),DC175,,,,,,,,8,Dublin City University,,,,,,,,,,,
368,Biological and related sciences,Biotechnology,DC181,,,,,,,,8,Dublin City University,,,,,,,,,,,
369,Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,,,,,,,,8,Dublin City University,,,,,,,,,,,
370,Engineering and engineering trades,Mechatronic Engineering,DC193,,,,,,,,8,Dublin City University,,,,,,,,,,,
371,Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,,,,,,,,8,Dublin City University,,,,,,,,,,,
372,Health,Biomedical Engineering,DC197,,,,,,,,8,Dublin City University,,,,,,,,,,,
373,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,,,,,,,,8,Dublin City University,,,,,,,,,,,
374,Biological and related sciences,Common Entry into Science (Undenominated Entry),DC201,,*,,,,,,8,Dublin City University,,,,,,,,,,,
375,Health,Sport Science and Health,DC202,,,,*,,*,,8,Dublin City University,,,,,,,,,,,
376,Education,Science Education,DC203,,,,,,,,8,Dublin City University,,,,,,,,,,,
377,Health,Athletic Therapy and Training,DC204,,,,,,,,8,Dublin City University,,,,,,,,,,,
378,Education,Physical Education with Biology,DC205,,,,,,,,8,Dublin City University,,,,,,,,,,,
379,Education,Physical Education with Mathematics,DC206,,,,,,,,8,Dublin City University,,,,,,,,,,,
380,Social and behavioural sciences,Psychology,DC208,,,,,,,,8,Dublin City University,,,,,,,,,,,
381,Health,Health and Society,DC209,,,,,,,,8,Dublin City University,,,,,,,,,,,
382,Health,General Nursing,DC215,,,,,,,,8,Dublin City University,,,,,,,,,,,
383,Health,Mental Health Nursing,DC216,,,,,,,,8,Dublin City University,,,,,,,,,,,
384,Health,Intellectual Disability Nursing,DC217,,,,,,,,8,Dublin City University,,,,,,,,,,,
385,Health,Children`s and General Nursing (Integrated),DC218,,,,,,,,8,Dublin City University,,,,,,,,,,,
386,Social and behavioural sciences,"Economics, Politics and Law",DC230,,,,,,,,8,Dublin City University,,,,,,,,,,,
387,Social and behavioural sciences,International Relations,DC231,,,,,,,,8,Dublin City University,,,,,,,,,,,
388,Law,Law and Society (BCL),DC232,,,,,,,,8,Dublin City University,,,,,,,,,,,
389,Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,,,,,,,,8,Dublin City University,,,,,,,,,,,
390,Humanities (except languages),Social Sciences and Cultural Innovation,DC238,,,,,,,,8,Dublin City University,,,,,,,,,,,
391,Journalism and information,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,,,,,,,,8,Dublin City University,,,,,,,,,,,
392,Business and administration,"Marketing, Innovation and Technology",DC240,,,,,,,,8,Dublin City University,,,,,,,,,,,
393,Arts,Arts (Joint Honours) - Media Studies,DC291,,,,,,,,8,Dublin City University,,,,,,,,,,,
394,Arts,Arts (Joint Honours) - Law,DC292,,,,,,,,8,Dublin City University,,,,,,,,,,,
395,Arts,Arts (Joint Honours) - International Languages,DC293,,,,,,,,8,Dublin City University,,,,,,,,,,,
396,Arts,Arts (Joint Honours) - Politics,DC295,,,,,,,,8,Dublin City University,,,,,,,,,,,
397,Business and administration,Business and Management,DK710,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
398,Business and administration,Business and Technology,DK711,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
399,Business and administration,Digital Marketing and Public Relations,DK712,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
400,Information and Communication Technologies (ICTs),Computing,DK721,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
401,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK722,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
402,Architecture and construction,Building Surveying,DK730,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
403,Architecture and construction,Architectural Technology,DK731,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
404,Architecture and construction,Construction Management,DK732,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
405,Engineering and engineering trades,Engineering - Electrical and Electronic Systems,DK740,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
406,Engineering and engineering trades,Engineering - Mechanical Engineering,DK742,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
407,Architecture and construction,Engineering - Civil Engineering,DK744,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
408,Personal services,Hospitality Management,DK750,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
409,Personal services,Event Management,DK752,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
410,Personal services,Culinary Arts,DK753,,,,,,,,7,Dundalk Institute of Technology,,avp,v,,,,,,,,
411,Personal services,"Sport, Exercise and Enterprise",DK763,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
412,Welfare,Community Youth Work (interview),DK767,,,,,,,,7,Dundalk Institute of Technology,#,avp,,,,,,,,,
413,Arts,Audio and Music Production,DK768,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
414,Arts,Creative Media,DK769,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
415,Arts,Theatre & Film Practice,DK770,,,,,,,,7,Dundalk Institute of Technology,,avp,,,,,,,,,
416,Arts,Musical Theatre (audition),DK771,,,,,,,,7,Dundalk Institute of Technology,#,,,,,,,,,,
417,Biological and related sciences,Science - Bioscience,DK781,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
418,Biological and related sciences,Science - Pharmaceutical Science,DK783,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
419,Veterinary,Veterinary Nursing,DK784,,,,,,,,7,Dundalk Institute of Technology,,,,,,,,,,,
420,Business and administration,Accounting and Finance,DK810,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
421,Business and administration,Business Studies,DK816,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
422,Information and Communication Technologies (ICTs),Computing in Games Development,DK820,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
423,Information and Communication Technologies (ICTs),Computing in Software Development,DK821,,,302.0,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
424,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK822,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
425,Architecture and construction,Building Surveying,DK830,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
426,Architecture and construction,Architectural Technology,DK831,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
427,Architecture and construction,Construction Management,DK832,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
428,Engineering and engineering trades,Engineering (Common Entry),DK843,,,340.0,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
429,Engineering and engineering trades,Mechanical Engineering,DK844,,,305.0,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
430,Engineering and engineering trades,Electrical & Electronic Engineering,DK845,,,304.0,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
431,Architecture and construction,Civil Engineering,DK846,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
432,Personal services,International Tourism Management,DK850,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
433,Arts,Music (audition),DK860,,,,,,,,8,Dundalk Institute of Technology,#,avp,,,,,,,,,
434,Social and behavioural sciences,Arts,DK861,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
435,Welfare,Social Care,DK862,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
436,Arts,Creative Media,DK863,,,,,,,,8,Dundalk Institute of Technology,,avp,,,,,,,,,
437,Arts,Film and Television Production,DK864,,,,,,,,8,Dundalk Institute of Technology,,avp,v,,,,,,,,
438,Arts,Audio and Music Production,DK865,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
439,Health,General Nursing,DK870,,,,,,*,,8,Dundalk Institute of Technology,,,,,,,,,,,
440,Health,Intellectual Disability Nursing,DK872,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
441,Health,Mental Health Nursing,DK874,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
442,Welfare,Early Childhood Studies,DK876,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
443,Health,Midwifery,DK877,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
444,Health,Health and Physical Activity,DK880,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
445,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),DK882,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
446,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),DK883,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
447,Agriculture,Sustainable Agriculture,DK884,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
448,Manufacturing and processing,Agri-Food Production,DK885,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
449,Manufacturing and processing,Biopharmaceutical Science,DK886,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
450,Environment,Environmental Science,DK887,,,,,,,,8,Dundalk Institute of Technology,,,,,,,,,,,
451,Business and administration,Business - Applied Entrepreneurship,DL701,,,,,,,,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
452,Humanities (except languages),"English, Media and Cultural Studies",DL821,,,212.0,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
453,Business and administration,Arts Management,DL822,,,229.0,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,v,,,,,,,,
454,Business and administration,Business Management,DL823,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
455,Social and behavioural sciences,Applied Psychology,DL825,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
456,Arts,Visual Communication Design,DL826,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
457,Arts,Art,DL827,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
458,Arts,"3D Design, Modelmaking and Digital Art",DL828,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
459,Arts,Design for Stage and Screen (Costume Design),DL829,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
460,Arts,Design for Stage and Screen (Character Makeup Design),DL830,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
461,Arts,Design for Stage and Screen (Production Design),DL831,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
462,Arts,Animation,DL832,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
463,Arts,Photography,DL833,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
464,Arts,Film and Television Production,DL834,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
465,Information and Communication Technologies (ICTs),Creative Computing,DL836,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
466,Humanities (except languages),New Media Studies,DL837,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,,,,,,,,,,
467,Arts,Creative Music Production,DL838,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,,,,,,,,,
468,Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,,,,,,,,,
469,Business and administration,Digital Marketing,DL840,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
470,Arts,English and Equality Studies,DL841,,,,,,,,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,
471,Architecture and construction,Architecture,DN100,,,,,,,,8,University College Dublin (NUI),,,,,,,,,,,
472,Architecture and construction,Landscape Architecture,DN120,,,,,,,,8,University College Dublin (NUI),,,,,,,,,,,
473,Architecture and construction,City Planning and Environmental Policy,DN130,,,,,,,,8,University College Dublin (NUI),,,,,,,,,,,
474,Engineering and engineering trades,Engineering (Common Entry),DN150,,,,,,*,,8,University College Dublin (NUI),,,,,,,,,,,
475,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (options),DN200,,,,,,,,8,University College Dublin (NUI),,,,,,,,,,,
476,Information and Communication Technologies (ICTs),Computer Science (Common Entry),DN201,,,,,,,,8,University College Dublin (NUI),,,,,,,,,,,
477,Mathematics and statistics,Actuarial and Financial Studies,DN230,,,,,,,,8,University College Dublin (NUI),,,,,,,,,,,
